antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2
15,3,2,1,170,83000,"Propiedad en Venta, Urb. Valle Alto, Etapa París.",-2.2054936,-80.0584758,488.2352941176471
10,3,4,4,938,980000,Venta de Casa en Urbanización Laguna Club Via a La Costa Km 12.5,-2.1831226,-79.9913879,1044.7761194029852
12,4,4,2,486,350000,Los Parques Venta Casa 4 Hab y Estudio con Piscina y Garajes,-2.1731919,-79.9437532,720.164609053498
3,4,4,1,183,198000,"Casa en Venta, Urb. Ciudad Celeste - La Marina, Samborondón",-2.071613787296468,-79.84206462327882,1081.967213114754
10,4,3,2,410,440000,Casa 4 Dorm. Us$440.000,,,1073.1707317073171
0,3,2,1,125,130000,"Sector Alamos Venta o Renta Casa Estreno, Patio, Bbq, Conj. Resid.",-2.133756012366327,-79.91155264232788,1040.0
6,5,4,2,225,250000,"Ciudad Celeste, Vendo Linda Casa con Excelentes Acabados.",-2.07179360121206,-79.84207850322787,1111.111111111111
4,3,3,4,1800,580000,El Cortijo Casa 1 Sola Planta 1.800 m² Terreno Us$580.000,,,322.22222222222223
21,5,5,4,728,280000,Vendo Hermosa Casa Esquinera en Urb. Puerto Azúl - A. Marín,-2.186680450956173,-79.97113306325991,384.61538461538464
0,3,1,1,123,62000,Palacio 2b Villa del Rey 2 Pisos,-2.0248305,-79.91677709999999,504.0650406504065
30,4,4,2,300,280000,"Venta Casa Olivos1 Vía a La Costa: Linda y Amplia, Cuatro Dorm.",-2.168353946308851,-79.94294466347657,933.3333333333334
20,1,2,0,80,35000,Casa en Venta Al Sur de La Ciudad - F. Rodríguez,-2.2043128,-79.9295654,437.5
0,3,3,2,120,86000,"Casas de Venta en Urb. l'Ogare, con Financiamiento a 18 Meses.",-2.0169076,-79.866398,716.6666666666666
6,5,5,1,183,155000,Vendo Hermosa Casa Ciudad Celeste 5 Dorm.,-2.068341170525824,-79.83821612224642,846.9945355191256
6,3,3,2,374,320000,Venta de Moderna Casa en Vía Samborondon Km 1,-2.1447394,-79.8644152,855.6149732620321
6,3,3,2,180,168500,Vendo Linda Casa con Jacuzzi en Ciudad Celeste - La Brisa,-2.0734632,-79.84164249999998,936.1111111111111
15,4,2,2,580,140000,Casa de Venta en Lago de Capeira,-2.0059491,-79.9642126,241.3793103448276
2,4,3,2,500,500000,Isla Mocoli Vendo Casa de Lujo,-2.096197548642436,-79.8606440325409,1000.0
0,3,3,2,180,157000,Vía a La Costa - Villas del Bosque Estreno 3 Dorm.,-2.201768988291272,-80.06073692460319,872.2222222222222
19,4,4,1,160,155000,Vendo Casa en La Garzota,-2.1478685,-79.8929407,968.75
0,3,2,1,100,60000,"Venta de Casa de 1 Planta en Urb Villa del Rey, Modelo Castillo 6b",-2.076758,-79.9401216,600.0
23,4,4,4,950,560000,Casa en Puerto Azul en Venta,-2.158796441323949,-79.94668378590546,589.4736842105264
40,4,2,0,82,55000,Venta de Casa en Sauces 5,-2.123073856468501,-79.89241025344239,670.7317073170732
10,3,2,3,175,55000,Casa de Venta en Salinas Ciudadela Carolina Frente Al Shopping,-2.191526053604974,-79.88158962297365,314.2857142857143
0,0,0,3,332,415000,Villa Nueva Km 8 con Lindos Acabados,-2.0853184,-79.87263889999997,1250.0
15,0,3,2,217,120000,Casa en Venta en Bim Bam Bum Más un Anexo con 2 Parqueos,-2.163744524582205,-79.92809627672119,552.9953917050691
9,3,4,2,515,445000,Vendo/alquilo Villa Acogedora en Una de Las Mejores Urb. de Sambo! Km 4!,,,864.0776699029126
10,3,2,2,160,110000,En Venta Casa de 2 Plantas en Villa Club Etapa Doral,-2.050890890512851,-79.8909915600189,687.5
0,0,2,0,140,105000,Samanes Casa en Venta,-2.191526053604974,-79.88158962297365,750.0
40,3,2,1,432,110000,Casa Para Remodelar en Argentina y La 11 Calle Comercial,-2.209229,-79.88950729999999,254.62962962962962
2,3,4,2,220,290000,Lujosa Casa en Urb. Privada Frente a La Via León Febres Cordero,-1.9606263,-79.72715099999999,1318.1818181818182
0,3,3,2,650,690000,Mocoli Espectacular de Estreno,-2.098672889333189,-79.86270962155459,1061.5384615384614
0,1,4,4,1010,899000,Km. 6 Vía Samborondon Castelago Hermosa Casa en Venta,-2.0957451,-79.8712972,890.0990099009902
0,1,2,3,287,250000,Venta de Villa de Oportunidad Excelente Ubicación,-2.1231067,-79.8709837,871.0801393728223
5,3,3,1,240,228000,"Urbanización Ciudad Celeste, Vivienda en Venta",-2.073659197271514,-79.84677773342196,950.0
10,3,3,4,208,125000,"Vendo Villa Amplia, Bonito Sector - Sauces IX,200 m² Terreno $125.000, Acepto Bies.",-2.132219426981645,-79.89267285337303,600.9615384615385
4,4,6,3,1900,1800000,Maravillosa Casa Al Rio Babahoyo Construida por Grunauer,-2.1070207,-79.87232990000001,947.3684210526316
15,9,6,4,710,475000,Venta: Casa Rentera + Locales Comerciales –frente Iglesia Inmaculada Concepción,-2.2123524,-79.89413400000001,669.0140845070423
30,4,2,0,254,160000,Venta - Casa Rentera - en Mapasingue,-2.155192326146559,-79.92315099999996,629.9212598425197
0,5,5,2,275,250000,Proyecto de Venta en La Arboleda en Ciudad Celeste en Vía Samborondón,-2.07179360121206,-79.84207850322787,909.0909090909091
0,4,4,2,400,350000,Vendo Casa Moderna de Estreno en Isla Mocoli,-2.094106824214779,-79.85657780367433,875.0
0,4,3,2,250,245000,Vendo Moderna Casa de Estreno Ciudad Celeste,-2.0715709,-79.84227920000001,980.0
18,6,6,10,1400,720000,Venta de Casa Corredor Comercial Kennedy Vieja,-2.176789490589865,-79.89842595183717,514.2857142857143
0,3,3,0,231,290000,Casa - Samborondón,-2.132763683449999,-79.8675970263,1255.4112554112555
11,4,6,2,420,400000,"Vendo Linda y Amplia Casa en Fontana, Vía a Samborondon, Sector Uess.",-2.1263918,-79.86639409999998,952.3809523809524
0,0,0,0,1101,990000,Casa - Guayaquil,-2.164276999999999,-79.8779834,899.1825613079019
0,3,4,2,545,457900,Proyecto en Samborondon en Isla Mocoli Casa de Una Planta 3 Dorm.,-2.107189888382369,-79.86102222401195,840.183486238532
2,2,2,2,130,65000,La Joya Venta Casa de un Sola Planta con 2 Hab y Garaje,-2.028871996625323,-79.92029926347658,500.0
0,0,3,5,1200,1200000,Lomas de Urdesa Vendo Casa Elegante 1200 m²,-2.158903653534365,-79.91309716462098,1000.0
22,4,4,3,1600,850000,Samborondon Km 6.5 Venta Casa de 1.600 m 2 con Piscina y 4 Hab,-2.111083748018044,-79.87084865070835,531.25
12,0,4,2,500,305000,Vendo Linda Casa Via Samborondon,-2.132356271064043,-79.87308073248289,610.0
5,3,3,0,560,575000,"Isla Mocoli - Casa de 1 Piso - Full Automatizada - Moderna - $575,000",-2.104158358380436,-79.86055015522538,1026.7857142857142
5,0,4,1,200,365000,Casa Ceibos Norte,-2.15865447242032,-79.94088647511597,1825.0
15,3,3,1,160,110000,"Vendo Casa de un Piso, en Samanes 6, Frente Al Parque de Samanes",-2.110737420608049,-79.90570155868295,687.5
15,3,2,2,90,68000,Se Vende Casa de Oportunidad en Mucho Lote Etapa Monaco - Calle Vehicular,-2.0820049,-79.92294729999998,755.5555555555555
