antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2
3,3,3,1,383,265000,Casa en Venta en Estancias del Río Samborondón,-2.064464534383507,-79.87280755581969,691.9060052219321
5,3,2,1,101,79000,"En Venta Casa, Cdla. Ciudad Olimpo Etapa 1 - A, Vía La Costa",-2.2274719,-80.07724250000001,782.1782178217821
7,3,2,1,115,85000,"Propiedad en Venta, Urb. Loma Vista.",-2.0966191,-79.94315790000002,739.1304347826087
40,6,2,0,158,110000,Se Vende Casa en Barrio Orellana,-2.1859333,-79.8926535,696.2025316455696
5,4,8,2,600,585000,Vendo Moderna Casa de Lujo. 4 Dorm. en Estancias del Rio,-2.065712199194186,-79.8742135269531,975.0
12,4,6,2,642,550000,Hermosa Casa en Entrelagos de Oportunidad - R. Hurtado - J. Moncada,-2.0904681,-79.86958370000002,856.6978193146417
0,3,4,1,124,113204,Preciosa Casa Modelo Acuarela en Urbanización Privada Casa Laguna.,-2.0502849,-79.902735,912.9354838709677
0,4,0,2,480,550000,Mocoli Estrene Linda Villa 375 m² 4 Dorm Piscina Minimalista,-2.1043031,-79.86048310000001,1145.8333333333333
10,4,3,2,230,200000,Casa en Venta Via a La Costa Terranostra Sin Hipoteca - Mariuxi Rugel,-2.184851042718297,-79.99583505690345,869.5652173913044
10,4,4,3,800,750000,Preciosa Casa Venta Samborondon,-2.138267121657221,-79.86290618049316,937.5
10,3,2,1,160,155000,"Casa en Venta en Matices, Frente a El Dorado",-2.058186918530874,-79.87630970157471,968.75
0,1,1,4,510,595000,"Villa en Laguna del Sol Al Lago, Samborondon (En Construcción)",-2.07355037851966,-79.86635780478514,1166.6666666666667
0,2,2,1,96,37000,"Proyecto Inmobiliario, Mi Lote, Norte de Guayaquil",-2.080461,-79.91587700000002,385.4166666666667
0,4,3,2,183,215000,Vendo de Estreno Villa Via a La Costa Primeros Kms,-2.1842287,-79.97574639999999,1174.863387978142
0,1,4,4,2000,1200000,Casa en Samborondon Urb. Laguna Dorada con Vista Al Lago,-2.1411698,-79.8597831,600.0
4,6,6,2,383,123000,"Cdla Coviem, Frente Parque Acuático, Se Vende Casa a Estrenar",-2.2374179,-79.90282780000001,321.14882506527414
7,4,3,2,180,112000,Gran Casa en Villa Club Etapa Floral a La Venta,-2.1579238,-79.89439779999998,622.2222222222222
3,4,6,2,642,900000,Isla Mocoli con Vista Al Lago 4 Dorm. Master en Planta Baja Us$900.000,,,1401.8691588785048
0,4,4,0,512,469000,Venta de Villa Moderna 4 Dorm Mas Estudio y Piscina - Estrene,-2.102587642904662,-79.85962479311524,916.015625
9,3,2,1,160,125000,Samborondon - Napoli Casa en Venta,-2.191526053604974,-79.88158962297365,781.25
5,4,1,2,1098,890000,Mocoli Golf Club Casa Us$890.000 Vista Al Lago,,,810.5646630236794
2,4,3,1,250,218000,Venta de Casa Seminueva en Kennedy Nueva,-2.191526053604974,-79.88158962297365,872.0
26,6,6,2,400,325000,Vendo Casa Albatros Norte de Guayaquil Uso de Suelo Comercial,-2.1708751,-79.89246509999998,812.5
0,3,3,0,132,115000,Venta de Casa Esquinera en Urbanización La Joya - Etapa La Perla,-2.076758,-79.9401216,871.2121212121212
0,3,3,1,144,116000,"Vendo Casa en Urb. La Joya en Construcción, Modelo Exclusivo Etapa Topacio",-2.053850318861618,-79.91808379050445,805.5555555555555
0,4,4,0,300,385000,Villa a La Venta en Km 5.5 Av Samborondon,-2.1133853,-79.87082269999996,1283.3333333333333
8,3,1,0,105,17000,"Casa en Venta de Oportunidad, Entrada de La 8",-2.1183964,-79.9475124,161.9047619047619
4,3,2,1,213,138000,Vendo Casa Ciudad Celeste,-2.073852189841814,-79.84508257732455,647.887323943662
6,3,2,2,190,170000,"Ciudad Celeste, Vendo Linda y Confortable Casa",-2.073017993264092,-79.87362921655273,894.7368421052631
0,2,2,1,160,105000,Casa de Venta en Urbanización Valle Alto - Etapa Londres,-2.193749722104528,-80.05135992188718,656.25
0,0,3,0,240,320000,Casa en Venta en Plaza Real Samborondon!,-2.1419603,-79.86901449999999,1333.3333333333333
0,3,2,0,100,84000,"Venta de Casa por Estrenar en Urb Villa del Rey, La Aurora - Daule",-2.076758,-79.9401216,840.0
0,3,2,0,140,129000,Casa en Venta en Urb. Mallorca $136.000,-2.036956,-79.86867760000001,921.4285714285714
10,4,5,2,1217,850000,Quiere Vivir en Grande! 1eros Kilóm Sin Tráfico Km 1.5 Antes Nuevo Puente,-2.040030402207288,-79.83063697315708,698.4387838948234
15,4,4,3,2000,1200000,Vendo Hermosa Casa en Samborondon,-2.059297785363572,-79.87595557667271,600.0
20,4,4,3,202,125000,"Vendo Casa con Uso de Suelo Comercial, Centenario Sur, Cerca Al Banco Pichincha",-2.2244647,-79.89128740000001,618.8118811881188
15,3,3,2,250,225000,Casa 3 Dorm. 3 Dorm. en El Km 1 Via Samborondon,-2.14881046332151,-79.86345115316777,900.0
33,5,4,0,375,280000,En Venta Casa de 5Dorm. en Cdla. Albatros - I. Alarcón,-2.170915145674083,-79.89320096983641,746.6666666666666
0,3,3,2,203,290000,Casa en Venta Villa 3 en Mocolí Gardens en Vía a Samborondón,-2.104088667966229,-79.86041872698365,1428.5714285714287
0,3,3,0,96,62707,No Es un Sueño Es Una Realidad - Tu Casa en Villa Bonita con Mínima Entrada.,-2.062149511606544,-79.97582676499025,653.1979166666666
10,3,2,0,120,50000,Santa Elena - Villa Marina Casa en Venta,-2.191526053604974,-79.88158962297365,416.6666666666667
8,3,5,3,397,350000,De Oportunidad Casa en Venta en Urb. Villa Nueva,-2.150588200000001,-79.8664336,881.6120906801008
0,0,4,2,180,158000,Casa de Estreno Villas del Bosque 4 Habitaciones,-2.1337148,-79.9335537,877.7777777777778
0,4,4,0,450,559400,Proyecto en Aires de Batán Tercera Etapa,-2.0772653,-79.87343659999999,1243.111111111111
2,4,5,2,666,620000,Vendo Casa Mocoli Moderna Dormitorio Planta Baja Piscina,-2.103638360599412,-79.86032216745912,930.9309309309309
8,3,3,2,165,170000,Casa de Oportunidad de Venta en Samborondon,-2.271652498184291,-78.9993077470703,1030.3030303030303
7,3,3,2,212,268000,"Casa de Venta en Urb. Estancias del Rio, Samborondon, Cerca de Cc El Dorado",-2.063653599999999,-79.8783334,1264.1509433962265
6,4,5,2,400,460000,Casa en Venta en Mocoli,-2.098672889333189,-79.86270962155459,1150.0
0,3,3,2,300,299000,Casa de Estreno Ceibos,-2.151361256104656,-79.94149639367066,996.6666666666666
0,4,4,2,400,460000,"Proyecto de Casa en Venta en Puerto Mocolí, en Isla Mocolí en Vía Samborondón",-2.116967726368195,-79.86898183323399,1150.0
11,4,3,0,367,188000,"Casa en Venta, Urbanización Belo Horizonte, Vía a La Costa",-2.187779471895832,-79.9782656491821,512.2615803814714
8,3,3,2,300,270000,Vendo Casa 3 Dorm. Via Samborondon,,,900.0
0,4,4,2,412,454000,"Urb Pacifica - Isla Mocoli - Casa en Proyecto - Us$454,000",-2.107390918014789,-79.85893814760743,1101.9417475728155
8,3,3,2,384,260000,"Samborondon, Estancias del Rio, 3 Dorm. 3.5 Baños, Amplio Patio",-2.064285067031483,-79.87646700957032,677.0833333333334
5,4,4,3,1098,890000,"Mocoli Golf Club, Espectacular Casa en Venta con Acabados de Lujo.",-2.1031223,-79.86468350000001,810.5646630236794
0,3,3,2,250,180000,Venta Casa Via a La Costa Km 21 Urb Villa del Bosque,-2.186265569748732,-80.01987108548894,720.0
10,3,2,1,245,210000,Cumbres Venta Casa Sin Amob 3 Hab Piscina Bbq Conj Res,-2.156828033536438,-79.9446783206543,857.1428571428571
28,7,5,0,243,95000,"En Venta Casa, Las Orquídeas Al Norte de Guayaquil",-2.087468948017258,-79.9167950629087,390.94650205761315
0,3,3,1,217,185000,Ciudad Celeste Casa 3 Dorm. Estudio Us$185.000 de Estreno!,,,852.5345622119816
8,4,6,2,710,750000,"Vendo Lujosa Casa de 4 Dorms con Vista Al Lago Km 7 Vía a Samborondón. Cdla ""Triple A""",-2.085318399999999,-79.87263889999997,1056.338028169014
3,4,3,1,160,95000,Vendo Casa en Urb. La Joya,-2.047608808656506,-79.91596917910766,593.75
15,6,6,3,650,555000,Vendo Linda Casa con Hermosa Vista Al Lago en La Ciudadela El Rio,-2.1350949,-79.86274359999999,853.8461538461538
10,3,2,1,243,99000,"Venta de Casa, Urb. Santorini, Norte de Guayaquil",-2.1352505,-79.9245171,407.4074074074074
5,3,2,1,120,66500,Urbanización Compostela Vendo Preciosa Casa de Dos Plantas,-2.0234794,-79.8659892,554.1666666666666
0,3,2,2,280,192000,"Casa en Venta Via a La Costa Km 11,5",-2.183062957823979,-79.98330757301636,685.7142857142857
14,3,2,0,72,54900,"Venta de Casa, Mucho Lote 1 Etapa 5, Norte de Guayaquil",-2.0820049,-79.92294729999998,762.5
20,4,4,1,165,195000,Hermosa Casa de Venta en Bellavista Dos Plantas,-2.185783730340475,-79.91440317529418,1181.8181818181818
0,0,0,0,72,37000,Casa en Mucho Lote Frente a La Iglesia San Lucas,-2.0820049,-79.92294729999998,513.8888888888889
0,4,4,2,457,620000,Batan Estrene Casa Moderna de 4 Dorm. Samborondon,-2.111083748018044,-79.87084865070835,1356.6739606126914
2,4,4,2,185,145000,Vendo Via Samborondon Preciosa Casa. 4 Habitaciones $145.000,-2.037189596756984,-79.84024464625548,783.7837837837837
20,0,2,1,185,130000,Venta de Casa en Urdesa Central 3 Dorm.,-2.165798588383933,-79.91138044553827,702.7027027027027
0,0,0,0,81,90000,"Venta de Casa en Sauces 3, Norte de Guayaquil.",-2.126702077513178,-79.89166258678586,1111.111111111111
10,4,5,2,500,598000,"Venta Casa Puerto Azul Via a La Costa - Guayaquil: Lindisima, 4 Dorm., Piscina",-2.189655532017107,-79.96490497392733,1196.0
0,4,3,1,100,64338,Venta de Casa Esquinera 4 Dorm. en Villa Bonita Mi Lote,-2.0539554,-79.98665830000004,643.38
5,3,5,2,244,190000,"Terranostra Urb Via a La Costa Vendo Villa, 3 Dorm., Acabados Especiales",-2.1924871,-79.99881770000002,778.688524590164
0,0,1,3,93,55000,Casa - Guayaquil,-2.2438091,-79.9066763,591.3978494623656
6,3,2,1,130,73000,Vendo Hermosa Casa Vía Samborondon Salitre,-2.0391097,-79.86709969999998,561.5384615384615
5,3,2,0,78,73000,"Casa en Venta, Mucho Lote 2 - Alameda del Río, Norte de Guayaquil",-2.0597409,-79.8917644,935.8974358974359
5,3,2,1,195,195000,Casa por Estrenar Santa María de Casa Grande,-2.053153149341061,-79.93202611036986,1000.0
5,4,6,4,600,490000,Oportunidad Vendo Preciosa Casa Via Samborondon 4 Habitaciones. $490.000,,,816.6666666666666
0,3,3,2,186,194800,Estrena Casa en Ciudad Celeste de Venta,-2.271652498184291,-78.9993077470703,1047.3118279569892
0,4,4,2,620,850000,Lagos de Batan,,,1370.967741935484
0,3,3,1,96,62714,Venta de Casas – Villa Bonita - Daule,-2.062149511606544,-79.97582676499025,653.2708333333334
0,3,2,1,120,99000,Venta - Casa Urbanización La Joya Etapa Oro,-2.0539063,-79.89672200000001,825.0
12,3,4,1,180,185000,"Casa en Venta Via Al Sol, 3 Dorm, 4 Bañ, Piscina, Via a La Costa.",-2.184593737819526,-79.99532007277259,1027.7777777777778
0,3,3,1,180,160000,"Venta de Casa por Construir en Urb Ciudad Celeste - La Serena, Vía Samborondón",-2.075939203530357,-79.8746686002197,888.8888888888889
10,3,4,2,208,175000,Vendo Linda Casa en Ciudad Celeste - Acabados de Primera,-2.072323347119769,-79.84285909153482,841.3461538461538
4,4,5,3,750,900000,"Minimalista, Espectacular, Acabados Triple Aaa, Mudese Hoy.",-2.098773195927682,-79.87380167514647,1200.0
15,4,2,0,72,76000,"De Venta Casa en La Urb. Colinas del Sol, Vía Daule",-2.095010327519334,-79.9423670544922,1055.5555555555557
0,3,2,1,150,150000,"Via a La Costa Km 19.5 Venta Casa de 2 Pisos con 3 Hab, Patio y Garaje",-2.1945991,-80.05364279999998,1000.0
0,3,3,1,300,350000,Se Vende Casa en Ceibos Norte Dos Plantas,-2.150243650191443,-79.94297323372956,1166.6666666666667
10,3,4,2,247,260000,Hermosa Casa en Venta Blanca Iluminada! Km 2.5 Via Samborondon Todo a La Mano!,-2.132206171361813,-79.87254429067991,1052.6315789473683
35,3,4,0,800,280000,Casa Excelente Ubicación Urdesa Central Circunvalación Sur,-2.166123793087345,-79.91167234129125,350.0
0,3,3,1,154,135000,Villa Nueva por Estreno Urbanización Nàpoli con Jacuzzi Via La Aurora Km 13,-2.2208714,-79.9060609,876.6233766233767
22,3,4,2,160,135000,"Casa en Venta en La Garzota, Más Suite",-2.145324634425512,-79.8878710111145,843.75
8,3,4,1,72,62000,"Vendo Casa en Mucho Lote, 3 Dorm. c/u con Bano, Parqueo Techado",-2.096549775638565,-79.91401874841006,861.1111111111111
15,4,5,2,400,350000,Casa de Dos Planta 4 Dorm. Samborondon,-2.1165977,-79.86755210000001,875.0
30,4,4,3,723,420000,Vendo Casa Comercial a La Entrada de Urdesa - Excelente Ubicacion,-2.17489011487964,-79.90702453809814,580.9128630705394
0,3,2,2,292,305000,Town House 215 m² Al Pie del Rio Babahoyo - Isla Mocoli,-2.09193032351369,-79.85563366610108,1044.5205479452054
8,3,2,1,168,115000,Vendo Linda Casa Esquinera en Urbanización Cataluña - Samborondón,-2.1436973,-79.89513449999998,684.5238095238095
0,0,0,3,143,75000,Casa - Sur de Guayaquil,-2.2036107,-79.9146894,524.4755244755245
45,0,3,1,248,115000,"Casa en Miraflores, Buena Ubicación",-2.1652516,-79.92081730000001,463.7096774193548
0,0,1,3,383,220000,Casa en El Barrio del Centenario,-2.2146809,-79.92136169999998,574.4125326370757
3,3,3,1,250,345000,Vendo Villa Mocoli - Blue Bay,-2.1043031,-79.86048310000001,1380.0
0,2,1,0,72,38000,Vendo Casa de 1 Planta en Urb Ecocity Vía Daule,-2.076452,-79.9437532,527.7777777777778
10,4,3,1,120,100000,En Venta Hermosa Casa en Milan Cerca del Cc. El Dorado.,-2.038423304877551,-79.86963042766297,833.3333333333334
0,3,5,2,230,210000,"Punta Esmeralda, por Estrenar, Casa 3 Dorm. c/u con Bano",-2.1868497,-79.99409660000003,913.0434782608696
0,0,0,3,2460,80000,"Casa en Los Vergeles, Ubicada en La Autopista.",-2.2514992,-79.87938329999997,32.520325203252035
12,2,2,0,72,40000,En Venta Casa de Una Planta Mucho Lote 1 - A. Espinoza,-2.0646512,-79.89268090000002,555.5555555555555
11,0,2,1,90,75000,Vendo en Aura de Villa Club un Piso - Samborondón,-2.050472733880216,-79.88969337085564,833.3333333333334
7,4,4,2,128,150000,Se Vende Casa Vía Salitre en La Urb Milán Etapa Turin,-2.052285935071259,-79.88118795673961,1171.875
0,0,3,2,225,259000,Venta Vendo en Samborondon Casa en Ciudad Celeste,-2.07941565850068,-79.83799314794919,1151.111111111111
0,4,4,1,450,470000,"Proyecto l'Isola, Isla Mocolí",-2.1062551,-79.85909889999999,1044.4444444444443
10,4,3,2,256,240000,Casa en Venta - 4d - Km 7 - $240.000,-2.192116,-79.96683080000003,937.5
12,4,2,3,330,250000,Se Vende Casa de Dos Plantas en Puerto Azul 330 m²,-2.189258854883414,-79.96493716043551,757.5757575757576
8,3,3,2,300,270000,Vendo Via Samborondon Hermosa Propiedad 3 Habitaciones $270.000 Primeros Km,-2.023218161944472,-79.86988305546299,900.0
30,4,4,1,570,285000,Vendo Villa Tradicional de 4 Dorms en El Corazón de El Centenario,-2.221875999999999,-79.88988159999997,500.0
13,4,4,2,600,820000,Laguna Club Us$820.000 Piscina 4 Dorm.,-2.226174,-79.94200460000002,1366.6666666666667
25,3,2,1,153,119000,Venta Casa en Mirador Sector Bellavista,-2.180677933524016,-79.91489747937624,777.7777777777778
0,0,0,6,168,75000,Excelente Inversión - Casa Rentera!,-2.130663440049926,-79.89760671971862,446.42857142857144
3,3,4,2,305,320000,Urb. Terrasol Casa de 3 Dorm. con Excelentes Acabados,-2.088043,-79.86818370000003,1049.1803278688524
0,3,3,2,495,420000,Casa de Estrno Urb. Tenis Club - K. Aguirre,-2.1170338,-79.87147010000001,848.4848484848485
5,3,3,1,175,150000,Urbanizaciòn Bali Vendo Villa,-2.0508349,-79.90230079999998,857.1428571428571
2,0,0,0,390,220000,"Casa en Venta, Vía Samborondón, Entre Ríos",-2.14761003565278,-79.86957395595323,564.1025641025641
0,3,3,1,120,130000,Casas en Acuarela del Rio Conjunto Privado - Autopista Terminal Terrestre,-2.1346815,-79.8842826,1083.3333333333333
2,3,2,2,202,175000,Via a La Costa Urbanizacion Portal Al Sol (Dueño Directo),-2.1826095,-79.99289049999999,866.3366336633663
20,3,3,3,520,180000,"Vendo. ""Miraflores"" Bonita Casa. 1 Planta. 3 Habitaciones. $180.000",-2.1883249,-80.02556779999998,346.15384615384613
2,4,4,2,484,499000,Encasa Tu Solucion en Construccion Residencial en Samborondon,-2.1043031,-79.8604831,1030.9917355371902
1,3,3,2,220,229000,Linda Casa. Acabados de Primera 3 Dorm. 240 m Terreno,-2.187891926118592,-79.96622998518069,1040.909090909091
1,4,3,1,300,240000,Venta de Casa en Puerto Azul,-2.191526053604974,-79.88158962297365,800.0
0,4,4,2,225,228000,Vendo Hermosa Casa de Estreno en Ciudad Celeste,-2.071613787296468,-79.84206462327882,1013.3333333333334
0,4,4,2,450,525000,Vendo Casa de Estreno en Aires de Batan $525.000,,,1166.6666666666667
0,3,3,1,127,110000,Vendo Casa en Castilla Km 13 Vía a Samborondon de Estreno,-2.0417313,-79.86323270000003,866.1417322834645
0,3,3,2,317,170000,Venta de Casa en Via a La Costa Km 21 en Villas del Bosque,-2.2043106,-80.06735960000003,536.2776025236593
2,4,3,2,162,140000,"Venta de Casa en Urb. La Joya - Etapa Gema, Av Leon Febres Cordero",-2.029117145154608,-79.92294736566771,864.1975308641976
15,5,5,2,800,520000,La Puntilla Casa 5 Dorm. con Piscina Us$520.000,,,650.0
5,5,5,2,183,165000,Vendo Casa Ciudad Celeste,-2.071613787296468,-79.84206462327882,901.639344262295
0,4,4,2,500,585000,Venta de Casa 4 Dorm Via Samborondon Km 7.5 con Piscina,-2.044306329684585,-79.87240692645872,1170.0
5,3,3,1,94,69500,"Urbanización Paraíso del Río, Propiedad en Venta.",-2.0603656,-79.88634330000002,739.3617021276596
0,0,2,1,130,120000,Urbanización San Antonio Casa con 3 Dorm. Us $120.000,-2.0450159,-79.8686237,923.0769230769231
10,3,4,3,567,480000,"Casa en Venta, Urb. Puerto Azul, Vía a La Costa",-2.186680450956173,-79.97113306325991,846.5608465608466
0,5,5,2,217,240000,Vendo Villa en Puerto Azul 4Dorm.,-2.189258854883414,-79.96493716043551,1105.9907834101382
0,0,1,3,105,62000,"Casa Venta, Urb. Las Orquídeas Sector 3, Norte Guayaquil",-2.083697893924101,-79.91695232574762,590.4761904761905
0,4,4,2,220,149000,Vendo Casa en Samborondon Urb. Fuentes del Rio,-2.063035426778712,-79.87149261077877,677.2727272727273
0,0,2,2,110,68000,"Vendo Casa de Dos Plantas en Villas de Rey, por Estrenar, Cerca a Plaza Tía",-2.2593268,-79.8716837,618.1818181818181
5,3,2,0,120,77500,"Urbanización Marina D´or Park Vendo Preciosa Villa Dos Plantas, Tres Dorm.",-2.139855307960203,-79.86360132235717,645.8333333333334
0,3,4,1,180,192000,"Punta Esmeralda, Via a La Costa Vendo Linda y Confortable Casa.",-2.183342031905175,-79.99406450052493,1066.6666666666667
6,3,3,2,189,187000,Bellohorizonte - Casa - Conjunto Privado - Km 11.5,-2.1873894,-79.9809942,989.4179894179895
10,4,4,2,250,380000,Casa de Venta en Vista Sol en Vía Samborondón,-2.087339767999961,-79.87293762683106,1520.0
7,3,2,2,127,92000,Se Vende Casa de Oport. Excelente Precio de 3 Dorm. en Urb. Villa Club,-2.03103369121621,-79.89289056400145,724.4094488188977
0,3,5,1,180,170000,Excelente Casa en Venta 140 m² Vía a La Costa - 3 Dorm. (Cód. 620),-2.185665317740377,-80.00589442911371,944.4444444444445
20,8,6,0,427,170000,En Venta Casa Rentera Excelente Ubicación,-2.206711680219937,-79.9034741183853,398.1264637002342
7,3,3,2,252,250000,Villa 2 Plantas Casi Nueva,-2.3839594,-80.35587520000001,992.063492063492
0,3,3,2,373,395000,Casa de Estreno Al Lago en Isla Mocoli,-2.105081252988366,-79.8578470987091,1058.9812332439678
1,3,3,2,145,100000,"Vendo Hermosa Casa en Cataluna, Km 12 Via Samborondon, 3 Dorm., 140 m²",-2.045018046862046,-79.88505201352541,689.6551724137931
8,3,2,4,198,195000,Hermosa Casa Via a La Costa,-2.1816441,-79.98535849999996,984.8484848484849
7,0,3,2,135,110000,Venta de Casa Urbanización Castilla Via Samborodón Km 13,-2.04241750943956,-79.8633185306885,814.8148148148148
9,4,3,1,227,180000,Alquilo o Vendo Casa en Ciudad Celeste 4 Dorm. - Samborondón,-2.071613787296468,-79.84206462327882,792.9515418502202
10,3,3,2,809,600000,Samborondon Casa de Una Planta 3 Dorm. con Baños,-2.111835362099802,-79.87121391500852,741.6563658838072
6,4,4,2,400,740000,Venta de Villa Impecable Via Samborondon,-2.119008399999999,-79.8689391,1850.0
11,3,3,1,195,149000,Se Vende de Oportunidad Casa en Ciudad Celeste Etapa La Estela,-2.0739766,-79.85118109999996,764.1025641025641
6,4,3,2,141,140000,Samborondon Oportunidad Casa en Venta Km 10.5,-2.059297785363572,-79.87595557667271,992.9078014184397
0,3,3,2,160,189000,Venta Villa por Estrenar Urbanización Las Cumbres,-34.850956,-55.0314238,1181.25
0,2,3,1,480,456000,Se Vende Casa en Construcción 243 m² - Aires del Batán. (Cód. 534),-2.271652498184291,-78.9993077470703,950.0
5,4,4,2,260,240000,Vendo Via Samborondon. Linda Casa. 4 Habitaciones. 2 Plantas. $240.000.,-2.092127924857719,-79.87316607929722,923.0769230769231
0,4,4,0,596,550000,Villa Disponible de Venta en Palmar del Río,-2.1231067,-79.87098370000001,922.8187919463087
0,3,3,1,500,490000,Casa en Venta Guayaquil Tennis Club.,-2.1956335,-79.91577940000002,980.0
0,4,4,1,405,430000,Proyecto de Casa en Mocoli,-2.098441053672283,-79.8641121287971,1061.7283950617284
15,3,4,2,252,220000,Puerto Azul Vendo Casa Los Ceibos,-2.192507315947491,-79.97148711491138,873.015873015873
1,3,4,2,350,340000,Casa de Venta en Samborondon,-2.1085513,-79.87191339999998,971.4285714285714
22,0,4,0,155,95000,Casa Rentera - Norte de Guayaquil!,-2.130931,-79.9380797,612.9032258064516
10,5,5,2,264,210000,Casa de Venta en Samborondón Urbanización Ciudad Celeste.,-2.072482153948914,-79.8424739847946,795.4545454545455
0,3,3,2,484,399000,Isla Mocoli/proyecto Casa de Una Planta,-2.098441053672283,-79.8641121287971,824.3801652892562
10,3,3,2,226,190000,Venta Casa 3 Dorm. Via a La Costa Urb Portal Al Sol,-2.181923547768206,-79.96916660703965,840.70796460177
20,0,0,0,1600,720000,"Casa en Venta, El Río, Vía Samborondón",-2.133914,-79.85978310000002,450.0
10,4,4,3,1100,980000,Casa Minimalista Moderna! Vista Al Lago Se Vende o Alquila! Km 6 Via Sambo!,-2.125602570021589,-79.8618348122925,890.9090909090909
28,3,3,1,127,112000,Casa Alborada Décima Etapa,-2.136060378366787,-79.91083196773684,881.8897637795276
4,5,5,2,533,700000,"Urb. San Isidro, Exclusiva Casa en Venta de 4 Dorm..",-2.0770664,-79.92848670000001,1313.3208255159475
47,10,10,0,1031,525000,Venta de Dos Villas Esquineras con Patio Compartido,-2.221875999999999,-79.8898816,509.21435499515036
0,3,3,2,550,490000,Vendo Via Samborondon. Linda Casa Estreno 3 Habitaciones Vista Al Lago $490.000,-2.108846371779121,-79.85970525938569,890.9090909090909
20,4,3,1,120,52000,Vendo Casa de 120 m de Construcción de Dos Plantas.,-2.0844835,-79.93097190000003,433.3333333333333
10,3,2,1,120,68000,Venta de Casa en Valle Alto Etapa New York,-2.203047178123889,-80.06144705952454,566.6666666666666
0,3,3,2,400,480000,Proyecto de Casa en Aires del Batan,-2.077222553677135,-79.87330814868773,1200.0
40,5,3,4,400,250000,Vendo Casa de en Urdesa. $250.000,-2.1746654,-79.90622380000002,625.0
5,5,6,2,460,530000,"Laguna del Sol, Acogedora y Elegante Casa de 5 Habitaciones",-2.082085910194585,-79.87252865239259,1152.1739130434783
0,4,4,2,250,385000,Vendo Moderna Casa de Estreno en Isla Mocoli,-2.097704777783352,-79.85870540559387,1540.0
0,3,3,2,225,269000,Vendo Amplia Casa de Estreno en Ciudad Celeste $,,,1195.5555555555557
18,5,3,1,290,190000,Puerto Azul Amplia Casa en Venta,-2.18930173896435,-79.96872980404407,655.1724137931035
8,3,3,2,600,490000,San Isidro/casa en Venta/samborondon,-2.119190665480558,-79.86818808147581,816.6666666666666
10,3,2,1,105,50000,Vendo Casa de 1 Planta en Orquideas,-2.09213052134563,-79.91548515741653,476.1904761904762
3,3,4,1,300,240000,Casa en Venta en Puerto Azul Vía a La Costa - Guayaquil,-2.186798382209649,-79.96605832380374,800.0
0,3,3,2,150,160000,Casa en Venta en Urbanización Napoli Sector Vía a Samborondón,-2.036794464697265,-79.86929655872189,1066.6666666666667
0,3,3,0,96,63950,Casa a Estrenar en Villa Bonita - Crédito Biess o Banco. Entrega Inmediata.,-2.062149511606544,-79.97582676499025,666.1458333333334
10,4,4,20,1100,330000,Ceibos - Venta Casa - 4 Hab - Ideal Negocio Carga y Descarga,,,300.0
5,5,4,1,750,550000,Santa Cecilia en La Parte Cerrada con Una Garita Hermosa Villa,-2.1540171,-79.86307269999998,733.3333333333334
0,4,3,1,316,340000,Villa Disponible a La Venta en Vista Sol $340.000,-2.0868532,-79.87098370000001,1075.9493670886077
10,5,5,1,633,260000,Venta de Casa Amoblada en Salinas Puertas del Sol,-2.191526053604974,-79.88158962297365,410.7424960505529
0,4,2,1,135,99500,"Casa de 4 Dorm. en Venta – Urb. Villa Italia, Km. 17 Vía La Aurora",-2.059290948246912,-79.92583201531374,737.0370370370371
0,3,3,2,150,160000,Vendo Sector Ceibos Preciosa Casa de Estreno 3 Habitaciones $160.000,-2.164853919344365,-79.93868007420502,1066.6666666666667
4,3,2,1,1,115000,Venta - Departamento - Vía a La Costa - Urbanización Costal Mar,-2.1856306,-80.00601269999999,115000.0
2,3,3,2,180,215000,Venta de Casa en Ciudad Celeste,-2.0718388,-79.8370274,1194.4444444444443
0,3,4,2,510,650000,Aires de Batan Proyecto de Casa en Construccion con Vista Al Lago,-2.077238542806533,-79.87355458164012,1274.5098039215686
20,3,5,11,2000,900000,Polibienes - Vendo Casa Puerto Azul,-2.186541077644645,-79.96649820608218,450.0
0,7,19,33,2384,485000,Oportunidad Inversionista Compra Una Propiedad con 33 Habitaciones Ceibos,-2.163867570589287,-79.93232860325776,203.43959731543623
12,3,4,2,250,185000,Casa en Venta Ceibos Norte Cuatro Dorm. Sala de Tv o Dormitorio Planta Baja,-2.151015582273471,-79.94387445595856,740.0
0,0,1,5,280,180000,Se Vende Casa en La Alborada,-2.135128950224238,-79.90156735606689,642.8571428571429
0,3,3,2,203,290000,Casa de Venta en Gardens Villa en Isla Mocolí,-2.10408866796623,-79.86041872698365,1428.5714285714287
0,4,3,4,355,262500,"Venta Casa Bosques de La Costa, Etapa Pórtico Via a La Costa, Villa Esquinera",-2.185001357326039,-79.97003087301636,739.4366197183099
3,4,6,3,1210,1215000,Venta Espectacular Casa Guayaquil,-2.185686634209913,-79.98639711698308,1004.1322314049587
0,2,1,1,53,44450,Nuevo Concepto Al Alcance de Tus Manos,-2.0844486,-79.96761359999999,838.6792452830189
1,4,5,2,400,465000,Oportunidad de Exclusiva Casa en Puerto Mocolí - m. Vaca,-2.0996831,-79.85990679999998,1162.5
