antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,publicado,tipodevendedor,titulo,lat,long
15,4,5,2,400,350000,,,Casa de Dos Planta 4 Dorm. Samborondon,-2.1165977,-79.86755210000001
30,4,4,3,723,420000,,,Vendo Casa Comercial a La Entrada de Urdesa - Excelente Ubicacion,-2.17489011487964,-79.90702453809814
En construcción,3,2,2,292,305000,,,Town House 215 m² Al Pie del Rio Babahoyo - Isla Mocoli,-2.09193032351369,-79.85563366610108
8,3,2,1,168,115000,,,Vendo Linda Casa Esquinera en Urbanización Cataluña - Samborondón,-2.1436973,-79.89513449999998
,0,0,3,143,75000,,,Casa - Sur de Guayaquil,-2.2036107,-79.9146894
10,4,3,1,120,100000,,,En Venta Hermosa Casa en Milan Cerca del Cc. El Dorado.,-2.038423304877551,-79.86963042766297
12,2,2,0,72,40000,,,En Venta Casa de Una Planta Mucho Lote 1 - A. Espinoza,-2.0646512,-79.89268090000002
10,4,3,2,256,240000,,,Casa en Venta - 4d - Km 7 - $240.000,-2.192116,-79.96683080000003
30,4,4,1,570,285000,,,Vendo Villa Tradicional de 4 Dorms en El Corazón de El Centenario,-2.221875999999999,-79.88988159999997
25,3,2,1,153,119000,,,Venta Casa en Mirador Sector Bellavista,-2.180677933524016,-79.91489747937624
,0,0,6,168,75000,,,Excelente Inversión - Casa Rentera!,-2.130663440049926,-79.89760671971862
A estrenar,3,3,2,495,420000,,,Casa de Estrno Urb. Tenis Club - K. Aguirre,-2.1170338,-79.87147010000001
5,3,3,1,175,150000,,,Urbanizaciòn Bali Vendo Villa,-2.0508349,-79.90230079999998
2,0,0,0,390,220000,,,"Casa en Venta, Vía Samborondón, Entre Ríos",-2.14761003565278,-79.86957395595323
A estrenar,3,3,1,120,130000,,,Casas en Acuarela del Rio Conjunto Privado - Autopista Terminal Terrestre,-2.1346815,-79.8842826
2,3,2,2,202,175000,,,Via a La Costa Urbanizacion Portal Al Sol (Dueño Directo),-2.1826095,-79.99289049999999
2,4,4,2,484,499000,,,Encasa Tu Solucion en Construccion Residencial en Samborondon,-2.1043031,-79.8604831
1,3,3,2,220,229000,,,Linda Casa. Acabados de Primera 3 Dorm. 240 m Terreno,-2.187891926118592,-79.96622998518069
A estrenar,3,3,2,317,170000,,,Venta de Casa en Via a La Costa Km 21 en Villas del Bosque,-2.2043106,-80.06735960000003
2,4,3,2,162,140000,,,"Venta de Casa en Urb. La Joya - Etapa Gema, Av Leon Febres Cordero",-2.029117145154608,-79.92294736566771
A estrenar,4,4,2,500,585000,,,Venta de Casa 4 Dorm Via Samborondon Km 7.5 con Piscina,-2.044306329684585,-79.87240692645872
A estrenar,0,2,1,130,120000,,,Urbanización San Antonio Casa con 3 Dorm. Us $120.000,-2.0450159,-79.8686237
A estrenar,4,4,2,220,149000,,,Vendo Casa en Samborondon Urb. Fuentes del Rio,-2.063035426778712,-79.87149261077877
A estrenar,3,4,1,180,192000,,,"Punta Esmeralda, Via a La Costa Vendo Linda y Confortable Casa.",-2.183342031905175,-79.99406450052493
6,3,3,2,189,187000,,,Bellohorizonte - Casa - Conjunto Privado - Km 11.5,-2.1873894,-79.9809942
10,4,4,2,250,380000,,,Casa de Venta en Vista Sol en Vía Samborondón,-2.087339767999961,-79.87293762683106
7,3,2,2,127,92000,,,Se Vende Casa de Oport. Excelente Precio de 3 Dorm. en Urb. Villa Club,-2.03103369121621,-79.89289056400145
20,8,6,0,427,170000,,,En Venta Casa Rentera Excelente Ubicación,-2.206711680219937,-79.9034741183853
1,3,3,2,145,100000,,,"Vendo Hermosa Casa en Cataluna, Km 12 Via Samborondon, 3 Dorm., 140 m²",-2.045018046862046,-79.88505201352541
7,0,3,2,135,110000,,,Venta de Casa Urbanización Castilla Via Samborodón Km 13,-2.04241750943956,-79.8633185306885
9,4,3,1,227,180000,,,Alquilo o Vendo Casa en Ciudad Celeste 4 Dorm. - Samborondón,-2.071613787296468,-79.84206462327882
6,4,4,2,400,740000,,,Venta de Villa Impecable Via Samborondon,-2.119008399999999,-79.8689391
11,3,3,1,195,149000,,,Se Vende de Oportunidad Casa en Ciudad Celeste Etapa La Estela,-2.0739766,-79.85118109999996
6,4,3,2,141,140000,,,Samborondon Oportunidad Casa en Venta Km 10.5,-2.059297785363572,-79.87595557667271
A estrenar,3,3,2,160,189000,,,Venta Villa por Estrenar Urbanización Las Cumbres,-34.850956,-55.0314238
15,3,4,2,252,220000,,,Puerto Azul Vendo Casa Los Ceibos,-2.192507315947491,-79.97148711491138
22,0,4,0,155,95000,,,Casa Rentera - Norte de Guayaquil!,-2.130931,-79.9380797
10,5,5,2,264,210000,,,Casa de Venta en Samborondón Urbanización Ciudad Celeste.,-2.072482153948914,-79.8424739847946
A estrenar,3,3,2,484,399000,,,Isla Mocoli/proyecto Casa de Una Planta,-2.098441053672283,-79.8641121287971
10,3,3,2,226,190000,,,Venta Casa 3 Dorm. Via a La Costa Urb Portal Al Sol,-2.181923547768206,-79.96916660703965
20,0,0,0,1600,720000,,,"Casa en Venta, El Río, Vía Samborondón",-2.133914,-79.85978310000002
28,3,3,1,127,112000,,,Casa Alborada Décima Etapa,-2.136060378366787,-79.91083196773684
47,10,10,0,1031,525000,,,Venta de Dos Villas Esquineras con Patio Compartido,-2.221875999999999,-79.8898816
20,4,3,1,120,52000,,,Vendo Casa de 120 m de Construcción de Dos Plantas.,-2.0844835,-79.93097190000003
10,3,2,1,120,68000,,,Venta de Casa en Valle Alto Etapa New York,-2.203047178123889,-80.06144705952454
40,5,3,4,400,250000,,,Vendo Casa de en Urdesa. $250.000,-2.1746654,-79.90622380000002
18,5,3,1,290,190000,,,Puerto Azul Amplia Casa en Venta,-2.18930173896435,-79.96872980404407
8,3,3,2,600,490000,,,San Isidro/casa en Venta/samborondon,-2.119190665480558,-79.86818808147581
10,3,2,1,105,50000,,,Vendo Casa de 1 Planta en Orquideas,-2.09213052134563,-79.91548515741653
3,3,4,1,300,240000,,,Casa en Venta en Puerto Azul Vía a La Costa - Guayaquil,-2.186798382209649,-79.96605832380374
A estrenar,3,3,2,150,160000,,,Casa en Venta en Urbanización Napoli Sector Vía a Samborondón,-2.036794464697265,-79.86929655872189
5,5,4,1,750,550000,,,Santa Cecilia en La Parte Cerrada con Una Garita Hermosa Villa,-2.1540171,-79.86307269999998
A estrenar,4,2,1,135,99500,,,"Casa de 4 Dorm. en Venta – Urb. Villa Italia, Km. 17 Vía La Aurora",-2.059290948246912,-79.92583201531374
4,3,2,1,1,115000,,,Venta - Departamento - Vía a La Costa - Urbanización Costal Mar,-2.1856306,-80.00601269999999
2,3,3,2,180,215000,,,Venta de Casa en Ciudad Celeste,-2.0718388,-79.8370274
A estrenar,3,4,2,510,650000,,,Aires de Batan Proyecto de Casa en Construccion con Vista Al Lago,-2.077238542806533,-79.87355458164012
12,3,4,2,250,185000,,,Casa en Venta Ceibos Norte Cuatro Dorm. Sala de Tv o Dormitorio Planta Baja,-2.151015582273471,-79.94387445595856
A estrenar,3,3,2,203,290000,,,Casa de Venta en Gardens Villa en Isla Mocolí,-2.10408866796623,-79.86041872698365
A estrenar,4,3,4,355,262500,,,"Venta Casa Bosques de La Costa, Etapa Pórtico Via a La Costa, Villa Esquinera",-2.185001357326039,-79.97003087301636
3,4,6,3,1210,1215000,,,Venta Espectacular Casa Guayaquil,-2.185686634209913,-79.98639711698308
A estrenar,2,1,1,53,44450,,,Nuevo Concepto Al Alcance de Tus Manos,-2.0844486,-79.96761359999999
27,6,9,4,500,220000,,,Hermosa Casa con Piscina en El Sur de Guayaquil,-2.2459283,-79.90632640000001
6,5,5,0,240,225000,,,Casa en Venta - Urbanización Ciudad Celeste - Samborondon - Area Social,-2.0718388,-79.83702740000001
6,4,4,4,1000,1150000,,,"Hermosa Casa Minimalista en Puerto Azul, Mansión de Lujo",-2.3839594,-80.3558752
3,3,3,2,207,200000,,,Increíble Oportunidad de Compra en Terranostra,-2.189967667128228,-80.00195052012941
En construcción,0,4,2,784,750000,,,Proyecto en Venta Blue Bay Doble Lago,-2.0964447,-79.85978310000002
7,4,3,0,231,230000,,,En Venta Casa en Urb. Ciudad Celeste - K. Aguirre,-2.066687000676583,-79.84264028175352
14,4,5,0,280,290000,,,Vendo Casa con Piscina en Urb. Parques del Río - P. Silva,-2.1453197,-79.85837830000003
40,3,2,0,98,60000,,,Venta Casa Ciudadela Las Acacias Negociable/ Mm,-2.2237854,-79.90317759999999
10,5,6,2,400,350000,,,"Cdla. Simon Bolivar, Frente Al Aeropuerto.",-2.1480534,-79.8841984
6,3,2,2,180,150000,,,Casa de Venta en Via a La Costa Urb Bello Horizonte,-2.181698405545645,-79.98250255026176
7,3,3,2,100,96000,,,Casa de Venta en Urbanización La Joya,-2.030027403474143,-79.91381253544313
18,4,3,1,242,350000,,,"Casa en Venta Puerto Azul, Vía a La Costa",-2.3625197,-80.2949352
A estrenar,4,4,4,380,190000,,,Vendo Casa en Samborondon Urbanizacion Fuentes del Rio Km 10.5,-2.063035426778712,-79.87149261077877
,0,0,4,1200,1000000,,,Casa Venta en Puerto Azul con Piscina,-2.18933325,-79.96684816
A estrenar,3,2,1,139,78000,,,La Joya Casa en Venta Modelo Q,-2.049838980091241,-79.91562585635376
40,3,2,2,477,175000,,,Vendo Casa Para Remodelar de 2 Plantas en Urdesa. Circunvalacion Norte,-2.175398383450587,-79.90447928717197
10,5,5,2,800,800000,,,Vendo Casa en Samborondon Primeros Kilom,-2.111083748018044,-79.87084865070835
5,4,5,2,230,200000,,,Casa en Venta Ciudad Celeste,-2.071488375123046,-79.84233719213483
3,3,2,1,195,170000,,,Casa de Venta en Samborondon,-1.99133502616238,-79.82057791576449
7,3,3,2,550,420000,,,Alquiler y Venta de Casa en Vía Samborondon,-2.056239895053519,-79.87696408726231
23,5,5,4,995,560000,,,Vendo Elegante Propiedad en Puerto Azul,-2.18930173896435,-79.96714193630726
10,3,2,1,180,130000,,,En Venta – Casa en Villa Club,-2.050890890512851,-79.8909915600189
A estrenar,3,3,1,127,128000,,,Casa en Venta con Acabados Modernos - Villa Club / Luna,-2.04721325279514,-79.88866340259398
25,5,4,0,240,190000,,,"Alborada 10 Ma. Etapa Sector City Mall, Casa 2 Pisos con 5 Dorm. $190.000 Negociables",-2.141119,-79.9096753
22,4,4,2,320,210000,,,Garzota Venta Villa Bifamiliar por La Empresa Eléctrica,-2.147236481208883,-79.89266439364013
8,4,2,1,144,69000,,,"La Joya Etapa Turquesa, Casa de Una Planta 4 Dorm.",-2.047608808656506,-79.91596917910766
12,11,13,4,2472,750000,,,Venta Casa Km 2.5 Via Samborondon 11 Habitaciones,-2.132157717728956,-79.8622032899745
13,3,3,0,171,76000,,,Casa de 3 Dorm. en Portón de Beata - E. Jivaja,-2.0572131,-79.95885520000002
3,4,6,2,378,460000,,,Venta Hermosa Casa Vía Samborondón Km 7 Al Río,-2.03748177272571,-79.83215510345951
5,3,3,0,300,150000,,,Se Vende de Oportunidad Casa en Ciudad Celeste - P. Silva,-2.068341170525824,-79.83821612224642
12,4,4,0,166,76000,,,"Se Vende Casa Al Sur de Guayaquil, Tiene Dos Departamentos Independientes (Rent)",-2.249144641141746,-79.88413997326353
A estrenar,0,0,0,200,360000,,,Ceibos Norte Estrene Casa de Lujo,-2.1884336,-80.0272384
28,12,18,4,750,600000,,,Vendo Edificio Comercial en La Zona Rosa de Gye,-2.1480534,-79.8841984
A estrenar,3,2,2,123,62000,,,Vendo Casa Villa del Rey (Palacio 2b) Etapa Juan Carlos,-2.0495844,-79.91469230000001
20,4,4,0,220,115000,,,"Casa en Venta Cdla. Los Esteros, Sur de Guayaquil",-2.2417817,-79.89705800000002
14,4,8,4,1400,1650000,,,Venta Casa Amplia de 4 Dorm. Km 6 Via a Samborondon,-2.054318349943824,-79.92039649676161
12,5,7,3,1110,690000,,,Vendo Casa en Samborondon con Vista Al Lago,-2.131757383652178,-79.86466721252197
8,3,5,2,226,240000,,,*vendo Hermosa Casa Urb. Alcance,-2.1224426,-79.90581780000002
2,4,5,2,253,295000,,,Se Vende Casa Vía a La Costa Urb. Bosques de La Costa,-2.184009661218837,-79.97059950132751
A estrenar,4,4,2,400,350000,,,Isla Mocoli Vendo Casa Moderna de Estreno,-2.139855307960203,-79.86360132235717
A estrenar,4,4,2,335,498359,,,"Venta de Propiedad Exclusiva en Isla Mocoli, Pacifica Cerca de Plaza Lagos",-2.1043031,-79.8604831
7,3,4,2,220,185000,,,"Vendo, Casa en Puerto Azul, Linda, Espaciosa, Muy Buen Precio",-2.194831715124715,-79.96430160268903
27,4,3,2,222,245000,,,Villa Colinas de Los Ceibos - 4 Dorm.,-2.1501319,-79.93396080000002
7,4,3,2,206,179500,,,Vendo Casa Oportunidad Via Samborondon Urbanización Matices - Mariuxi Rugel,-2.111083748018044,-79.87084865070835
6,3,2,2,196,160000,,,Vendo Casa en Ciudad Celeste - F. Brito,-2.069438923079831,-79.84145918308104
6,2,2,1,180,125000,,,Deparamento en Venta Santa Cecilia,-2.162087802779203,-79.94190992366487
A estrenar,3,2,1,115,115000,,,Se Vende Casa de Estreno en Mirador del Norte - H. Valverde,-2.136862377885878,-79.91852768465577
20,3,3,2,163,135000,,,"En Venta Casa en Urb. Santa Cecilia, Los Girasoles Ceibos",-2.159193044362843,-79.94310119101561
A estrenar,4,4,3,480,480000,,,Casa - Samborondón,-2.124348499999999,-79.8638765
A estrenar,5,7,3,1772,2950000,,,Venta de Oportunidad Mansion de Estreno en Samborondon Ecuador,-2.123447759897666,-79.86423253986209
5,3,3,1,120,100000,,,Comoda Casa en Compostela Via Salitre,-2.0238588,-79.86633460000002
10,4,4,2,316,330000,,,"Se Vende Acogedora Casa, Km 7 Via a Samborondon",-2.104614605416837,-79.87330745501708
En construcción,3,3,2,107,133258,,,Costalmar 2 - Capri Plus,-2.191211534199999,-80.0478428853
5,5,6,2,225,190000,,,Amplia Casa de Venta en Urbanización Ciudad Celeste.,-2.072385657583181,-79.84121871097562
A estrenar,3,3,2,112,98000,,,Casa Totalmente Nueva de Oportunidad,-2.0637748,-79.8972296
10,4,4,2,337,295000,,,"En Venta Amplia Casa Via Samborondon Km 9,5",-2.063310499875091,-79.87232525180661
18,3,3,2,241,275000,,,Pto Azul Casa Amoblada Vendo 3 Dorm. - Salar Estar - 2 Garajes,-2.189087318854507,-79.96221740055591
15,5,5,2,826,620000,,,Venta Casa Via Samborondon 5 Dorm. Primeros Km,-2.112218073202756,-79.87090488941038
A estrenar,3,2,2,120,99000,,,La Joya Modelo Ym,-2.049838980091241,-79.91562585635376
6,3,3,2,250,260000,,,Se Vende Amplia Casa en Urbanizacion Bouganville Samborondon,-2.1312422,-79.86713359999999
,0,1,3,110,85000,,,Vendo Villa en La Urbanizacion Villa Club,-2.033531937643264,-79.89299785236204
32,5,3,0,154,115000,,,Casa en Venta Tipo Rentera - L. Rojas,-2.1977049,-79.89629969999999
3,3,3,1,200,280000,,,Vendo Casa Moderna de 3 Dorm. Km 4 Vía a Samborondón Sector de Primera,-2.1168065,-79.86690899999999
6,5,5,3,614,480000,,,"Casa en Venta en Urbanización Portofino Km 11,5 Vía a La Costa",-2.18471132,-79.98856333
10,4,7,2,365,328000,,,"Casa de Lujo en Puerto Azul, 4 Dorm. + Estudio + Atico/piscina",-2.192207128427595,-79.9700494508794
5,3,3,2,430,490000,,,Venta Casa Via Samborondon Km 4.5 con Piscina,-2.118577697124845,-79.87239277990113
,1,3,6,650,600000,,,Casa - Samborondón,-2.1043031,-79.8604831
10,3,2,2,127,95000,,,Casa de Venta en Las Primeras Etapas de La Joya.,-2.046968236624498,-79.9156793529175
1,5,6,4,370,330000,,,En Venta Casa Santa Maria de Casa Grande Via Samborondon - Daule,-2.048720060964849,-79.89271186400146
18,4,4,2,350,280000,,,Puerto Azul Alquilo Casa 4 Dorm. - Estudio - Sala de Estar - Aires - Cortinas,-2.18930173896435,-79.96872980404407
39,3,2,0,78,59500,,,Casa en Venta Sur de Guayaquil,-2.237982851168643,-79.90280099129336
A estrenar,3,3,0,135,220000,,,"Venta de Departamento en El Condominio Belice, Samborondon, Cerca del Cc Village Plaza",-1.964445796219999,-79.722524258
32,8,6,0,105,50000,,,Casa Rentera - Guasmo Sur - K. Paladines,-2.2485611,-79.89268090000002
15,3,4,2,510,450000,,,"Lago Sol Casa en Venta, Como Nueva de Oportunidad!",-2.092968451752491,-79.87362299367066
En construcción,4,4,2,650,750000,,,Proyecto de Casa de Venta en Lagos de Batán.,-2.125641391211939,-79.86871620685423
10,4,3,2,451,470000,,,Vendo Casa en Laguna del Sol Sector Km 7 Vía a Samborondón,-2.085503015388085,-79.87406778540037
30,3,1,0,101,52000,,,Se Vende Casa de Una Planta Cdla. La Pradera Sur de Guayaquil,-2.2370492,-79.89338069999997
,1,2,3,123,179900,,,Casa - Vía a La Costa,-2.18527,-79.974617
8,3,4,2,313,206000,,,"Portal Al Sol, Km 11 Vía a La Costa, Vendo Casa Esquinera Amplia 313 m² $206.000",-2.182677,-79.9832432
,1,2,6,700,750000,,,Casa - Samborondón,-1.960626299999999,-79.727151
11,3,2,1,180,110000,,,Vendo Casa en Urbanizacion Villa Club Etapa Estelar,-2.033531937643264,-79.89299785236204
30,4,3,2,540,555000,,,Divina Casa Vendo Olivos 1!,-2.168353946308851,-79.94294466347657
12,4,5,2,456,450000,,,Venta de Hermosa y Amplia Casa en Entre Lagos,-2.0907999,-79.87306769999998
53,4,6,0,450,480000,,,Hermosa Casa en Urdesa Central,-2.162285609493887,-79.90832494444066
15,6,6,3,600,320000,,,"Casa en Venta - Cimas de Bim Bam Bum - Via a La Costa - 6d - $320,000",-2.1644903,-79.92929300000003
5,4,3,1,196,180000,,,Vendo Casa de Cuatro Dorm. en Ciudad Celeste - Samborondon,-2.071613787296468,-79.84206462327882
12,3,2,0,120,77000,,,Vendo Casa Metropolis 1 Autopista Narcisa de Jesús Norte,-2.0657163,-79.91408339999998
2,4,4,0,680,1400000,,,"Samborondon - Casa en Venta - Urb Lagos de Batan - us$1'400,000",-2.101989,-79.876981
5,4,4,2,407,380000,,,Venta de Amplia Villa Via a Samborondon,-2.107305499999999,-79.872252
10,4,4,2,201,285000,,,Venta Casa Espectacular en Goleta - Alcance - S. Ibañez,-2.120034652266427,-79.90518804760006
5,3,3,1,275,235000,,,Venta Casa Santa Maria Casa Grande 3 Dorm.,-2.12405463064469,-79.86154138542668
,1,1,5,280,120000,,,Venta de Casa en Las Orquídeas Norte de Guayaquil,-2.092145028496312,-79.91497469895018
,,3,3,170,216537,,,Dpto 130 m Mas 36 m de Patio,-2.2177318,-79.92393179999999
7,3,3,1,250,112000,,,Casa en La Joya de Estreno Oportunidad,-2.02935988571579,-79.91826515002441
4,3,3,1,207,185000,,,Se Vende Casa en Ciudad Celeste con Buenos Acabados Aires y Cortinas.,-2.075111017647299,-79.85773998714944
A estrenar,3,4,1,300,260000,,,"Venta Casa en Urb. El Condado de Vicolinci, Cerca Cc El Dorado",-2.0481906,-79.91082319999998
20,2,1,0,95,40000,,,Venta Casa Ciudadela Las Orquídeas Norte de Guayaquil,-2.0860551,-79.91385889999998
A estrenar,4,4,2,180,192000,,,Estrene Casa de 3 Dorm. + Estudio Via a La Costa,-2.1823637,-79.9909581
15,0,4,2,250,145000,,,"Casa en Venta, Urdesa Norte, 225 m² Construcción Uso Comercial y Residencial",-2.164208250507297,-79.90330707403143
37,3,2,0,100,65000,,,Esteros Casa de 2 Plantas 3 Dorm.,-2.240089043612627,-79.90518499178773
A estrenar,4,4,2,120,120000,,,Vendo Casa Personalizada Terminada Urbanización San Antonio II,-2.0450266,-79.8688651
57,3,4,3,764,400000,,,"Casa en Venta Urdesa, Norte de Guayaquil",-2.174887899999999,-79.9083804
A estrenar,0,2,2,180,170000,,,"Venta Casa de Estreno Villas del Bosque, 3 Dorm.",-2.201616994495959,-80.069224676474
26,0,0,0,800,625000,,,Casa en Urdesa Central en Corredor Comercial,-2.175582299999999,-79.9040832
A estrenar,4,4,5,450,510000,,,"Venta Amplia Casa Mocolí a Estrenar, Exclusivo en Vía a Samborondón",-2.099487733731183,-79.86406145489809
5,3,3,4,335,260000,,,Vendo Casa – Ciudadela Puerto Azul – Dos Plantas - Full Acabados.,-2.1917236,-79.96393560000001
,0,1,13,755,195000,,,"Oportunidad!gana $25,920 Al Año, Tasa de Retorno Anual 14%casa Rentera",-2.151929075748281,-79.90982775869139
1,4,4,2,350,360000,,,Vendo Hermosa Casa en Samborondon,-1.9606263,-79.72715099999999
3,4,5,1,185,200000,,,Se Vende Linda Casa Urbanización Bali de Oportunidad!,-2.0508349,-79.90230079999998
20,12,5,1,393,245000,,,Urdenor Vendo Propiedad Rentera Esquinera de 3 Plantas. Propiedad Horizontal,-2.1462974,-79.90317759999999
A estrenar,3,3,1,149,125000,,,Hermosa Casa en Villa Club Boreal,-2.037220328729791,-79.89299785236204
39,3,2,0,130,78000,,,Casa en Venta Ciudadela Ferroviaria,-2.182521959205152,-79.90872506937257
En construcción,4,4,2,378,560000,,,Vendo Proyecto Al Lago en Aires del Batan 1 Etapa Acabados de Primer,-2.0772653,-79.8734366
19,6,9,1,1757,900000,,,Venta Casa Cdla. Exclusiva. Urb. La Puntilla - D. Pérez,-2.1545699,-79.86590890000002
1,3,3,1,490,500000,,,Elegante Casa de Venta en Urbanizacion Portofino Via a La Costa,-2.183065,-79.981516
20,4,6,1,375,280000,,,Casa - Samborondón,-2.152224299999999,-79.8651524
39,0,0,50,823,1600000,,,Urdesa Central Victor Emilio Estrada Casa Venta Corredor Comercial,-2.169047099999999,-79.9066383
10,4,4,0,420,520000,,,Samboronon Casa en Venta Palmar del Río en $520.000 Negociable,-2.107305499999999,-79.872252
20,7,7,4,560,444000,,,Panorámica Casa de 7 Dorm. 4 Garajes y Piscina,-2.161141816406824,-79.9067272619713
30,4,6,6,1580,400000,,,Venta Majestuosa Casa en Sector Lomas de Urdesa,-2.164133029616943,-79.90474779171831
A estrenar,3,3,2,200,240000,,,Venta de Hermosa Casa en La Cdla. Las Cumbres! de 3 Dorm.,-2.15595630526929,-79.94494815211488
16,0,5,3,780,1000000,,,"Espectacular Casa en Laguna Club Via a La Costa, Vista Al Lago y 5 Dorm.",-2.1856104,-79.9899024
11,3,3,2,380,280000,,,"Vendo Casa Km.10 Via Samborondon, Terreno 380 m², Amplio Frente",-2.1085513,-79.8719134
6,0,0,0,141,119000,,,"Vendo Casa Excelentes Acabados Urb Milann ""Modelo Juliana"" (Km 12.5 Via a Salitre)",-2.038423304877551,-79.86963042766297
12,3,2,1,210,110000,,,En Venta Casa en Urb. San Felipe - C. Herrera - A. Maidana,-2.13760629835279,-79.92692608052596
A estrenar,3,3,2,476,550000,,,Samborondon Casa Isla Mocoli a Estrenar en 3 Meses,-2.104158358380436,-79.86055015522538
10,3,3,1,122,120000,,,"Vendo Casa en La Urbanizacion Veranda, Frente a La Area Social",-2.065495673603719,-79.90920597965396
4,4,5,3,155,108000,,,"Casa de Lujo N Cataluna, 4 Dorm/155 M²/3 Parqueos/km 12 Via Samborondon",-2.043800049378354,-79.87068854390259
10,5,7,0,478,550000,,,Venta de Casa en Rio Lindo (Samborondon),-2.1048124,-79.87220839999998
10,3,2,1,210,240000,,,"Casa 3 Dorm. - Us$240,000",-2.130657408610768,-79.8641878408203
20,2,1,1,300,130000,,,Vendo Casa Centro Guayaquil,-2.1855055,-79.89562230000001
20,3,3,3,1200,135000,,,"Guayaquil Vendo Casa en Terreno de 1,200 m² Rancho Alegre Km 24.5 Vía a Daule",-2.1040544,-79.9351168
A estrenar,3,3,1,300,240000,,,Venta Casa por Estrenar Urb Puerto Azul 3 Dorm.,-2.188974748223128,-79.96227104467471
En construcción,5,6,0,784,750000,,,"Venta de Proyecto en Urb. Isla Mocoli, Samborondon, Cerca de Plaza Lagos",-2.0964447,-79.8597831
6,4,6,2,311,450000,,,"Venta Casa, Urb. Estancias del Río, Vía Samborondon Cerca C. C. El Dorado.",-2.064464534383507,-79.87280755581969
,A estrenar,4,1,4,245000,,,Casa - Isla Celeste - Estribor - Samborondón,-2.0694324,-79.8416923
49,3,4,6,900,588000,,,Ideal Corporaciones en Urdesa Central Corredor Comercial Vendo Casa de 500 m²,-2.169218638373346,-79.90277591901855
4,3,3,2,160,153000,,,Se Vende Hermosa Casa 3 Dorm. en Urbanización La Romareda,-2.065133453619935,-79.90431960793455
33,3,3,0,96,75000,,,Se Vende Casa en Cdla. Pradera 2 Sur de Guayaquil $75.000 Fijos,-2.2375467,-79.89108149999998
10,5,5,4,647,655000,,,"Espectacular Casa de Venta en Guayaquil Tennis, Impecable",-2.155044348019845,-79.8653830925964
A estrenar,3,2,1,136,108900,,,Venta de Casa en Villaclub Etapa Natura,-2.026819828132007,-79.90837975569457
A estrenar,3,3,0,96,63950,,,"Villa Bonita - Mi Lote, Haciendo Realidad Tus Sueños. Solo 5% Entrada",-2.1342769,-79.93362730000001
7,4,3,2,322,400000,,,Villa Urbanizacion Puerto Azul 4 Dorm. con Piscina Patio y Garaje 2 Carros,-2.190522848930673,-79.9702012402588
12,4,5,2,500,550000,,,"Preciosa Casa en Olivos 1, 4 Dorm., Piscina",-2.171083359113553,-79.94209527682949
25,3,1,0,77,60000,,,Casa - Norte de Guayaquil,-2.129364999999999,-79.9031776
5,4,4,2,435,790000,,,Exclusivo Penthouse en Mocolí Golf Club,-2.1031223,-79.86468350000001
11,4,3,1,400,440000,,,Vendo Villa Samborondon Urbanizacion Vista Al Parque,-2.076442558926648,-79.87563907641601
2,3,3,2,537,380000,,,Vendo 2 Casas Adosadas en Urbanizacion Monaco,-2.092533418325432,-79.8565912147709
En construcción,4,3,2,500,470000,,,Estrene Maravillosa Casa en La Mejor Urbanizacion de La Isla Odi,-2.10360887618395,-79.85988496738963
15,4,4,2,370,285000,,,"Villa en Venta, Urbanización Las Riberas, Frente Riocentro Samborondon",-2.142028197925076,-79.8624106341797
4,4,2,2,221,155000,,,Casa en Samborondón,-2.07179360121206,-79.84207850322787
10,4,5,3,480,315000,,,Belo Horizonte - Elegante Casa a La Venta 4d + Estudio - Us$,-2.187779471895832,-79.9782656491821
8,4,3,2,426,230000,,,"Casa de 4 Dorm., Amplios Espacios y Buenos Acabados con Gran Patio y Piscina. Hermosa Cocina.",-2.186047596917314,-80.00913330317991
3,3,2,1,150,77000,,,"Venta Casa Urb. La Joya, Etapa Opalo, Aurora, Cerca a Plaza Tia",-2.025247772731826,-79.91103038462524
A estrenar,0,0,0,180,195000,,,"Casa en Venta, Urbanización Punta Esmeralda, Vía a La Costa",-2.1868497,-79.99409660000003
2,3,3,1,120,128000,,,Vendo Urb. Napoli Casa 2 Plantas con Piscina Cerca de C. C. El Dorado,-2.038467104826484,-79.87026215396725
10,3,3,2,160,105000,,,Espectacular Casa en Venta en Urb. Valle Alto Etapa Romana,-2.2036513,-80.06047739999997
5,4,4,2,259,175000,,,"Urbanización Vicrieel, Aurora, Vía a Daule",-2.053239,-79.89721700000001
3,3,2,2,130,89000,,,Se Vende Casa Esquinera Modelo Grande de Tres Dormit. en La Joya - Oportunidad,-2.029189658811115,-79.91939270850372
5,4,4,5,568,670000,,,"Samborondon Km 2 - Casa 4 Dorm. - Us$670,000",-2.139056566846498,-79.86362278002929
A estrenar,3,3,2,130,130000,,,Casa de Estreno en Venta Km 12.5 Villa Club Tres Dorm. Tres Baños,-2.0482519,-79.8906131
5,4,3,1,1000,360000,,,Venta de Casa Urb. Cumbres 4 Dorm. Amplios,-2.156828033536438,-79.9446783206543
,1,2,4,285,525000,,,Casa - Samborondón,-2.2174994,-79.9237738
15,5,6,4,1760,880000,,,"Linda Casa, Vista Al Rìo, Samborondòn. Primeros Kms. (Negociable)",-2.145281174496258,-79.86591325543367
