antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
Entre 10 y 20 años,5,7,Si,"https://www.google.com/maps/place/-2.1710000038146973,-79.89800262451172",400,$170.000,Publicado hace 12 hs,Inmobiliaria,Venta de Casa en Garzota 2
Hasta 5 años,2,1,Si,"https://www.google.com/maps/place/-2.059000015258789,-79.927001953125",101, $54.000,Publicado hace 12 hs,Inmobiliaria,"Venta de casa en Urb. Villa Italia, Etapa Florencia, Cerca a la Joya, Via Daule Samborondón"
Entre 5 y 10 años,3,4,Si,"https://www.google.com/maps/place/-2.187000036239624,-79.9260025024414",195,$165.000,Publicado hace 12 hs,Dueño Directo,Vendo Dpto en Salinas
Hasta 5 años,2,3,Si,"https://www.google.com/maps/place/-2.140000104904175,-79.92400360107422",104, $100.000,Publicado hace 12 hs,Inmobiliaria,SE VENDE AMPLIO Y MODERNO DEPARTAMENTO SAN FELIPE - H. VALVERDE
Entre 5 y 10 años,1,1,Si,"https://www.google.com/maps/place/-2.0959999561309814,-79.91100311279297",276,$138.000,Publicado hace 12 hs,Inmobiliaria,"Venta de Casa en Vergeles, Cerca al Parque Samanes, Norte de Guayaquil"
Hasta 5 años,2,1,Si,"https://www.google.com/maps/place/-2.0250000953674316,-79.94400024414062",72, $41.900,Publicado hace 12 hs,Inmobiliaria,CASA EN VENTA DE DOS PLANTAS CON ESTACIONAMIENTO VIA A DAULE CIUDAD SANTIAGO
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.0950000286102295,-79.91400146484375",72, $58.000,Publicado hace 12 hs,Inmobiliaria,CASA EN MUCHO LOTE 1 - AL NORTE DE GYE - DOS PLANTAS EN VENTA
Entre 10 y 20 años,3,2,Si,"https://www.google.com/maps/place/-2.0820000171661377,-79.9209976196289",84, $52.000,Publicado hace 12 hs,Inmobiliaria,Casa en Mucho Lote 1 de dos plantas en venta   - Norte - Gye
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.260999917984009,-79.89800262451172",200,$130.000,Publicado hace 12 hs,Inmobiliaria,"Venta de Casa en Cooperativa 9 de Octubre, Cdla de los Vigilantes,Av. 25 de Julio. Pasando el puente de las Esclusas."
Hasta 5 años,4,5,Si,"https://www.google.com/maps/place/-2.0989999771118164,-79.87999725341797",800, $1.600.000,Publicado hace 12 hs,Inmobiliaria,"Casa en Venta en Lagos del Batan, Norte de Guayaquil"
Hasta 5 años,2,2,Si,"https://www.google.com/maps/place/-2.0910000801086426,-79.91300201416016",80, $200.000,Publicado hace 12 hs,Inmobiliaria,Departamento en Venta o Alquiler en Elite Building
A estrenar,3,2,Si,"https://www.google.com/maps/place/-2.194999933242798,-80.05400085449219",112, $138.000,Publicado hace 12 hs,Inmobiliaria,"Departamentos en Venta en Via a la Costa, Marcia Espinoza"
Entre 10 y 20 años,4,3,Si,"https://www.google.com/maps/place/-2.112156391143799,-79.90744018554688",280,$295.000,Publicado hace 12 hs,Inmobiliaria,Venta de Casa en Parques Del Rio
A estrenar,1,4,Si,"https://www.google.com/maps/place/-2.125,-79.90299987792969",220, $134.000,Publicado hace 12 hs,Inmobiliaria,"Venta Casa ciudadela privada en Alborada sector City mall, Liceo Cristiano, Rotonda, Norte de Guayaquil"
Entre 5 y 10 años,3,4,Si,"https://www.google.com/maps/place/-2.1089999675750732,-79.9000015258789",112, $92.000,Publicado hace 12 hs,Inmobiliaria,"Venta de Casa en Urb. La Joya Etapa Platino, Vía a Aurora"
Hasta 5 años,1,3,Si,"https://www.google.com/maps/place/-2.1459999084472656,-79.90299987792969",140,$125.000,Publicado hace 12 hs,Inmobiliaria,Vendo Plaza Madeira Cerca C. C El Dorado
Entre 5 y 10 años,3,4,Si,"https://www.google.com/maps/place/-2.119999885559082,-79.88500213623047",120,$120.000,Publicado hace 12 hs,Inmobiliaria,Venta de Casa en Urb.arboletta
Hasta 5 años,2,2,Si,"https://www.google.com/maps/place/-2.181999921798706,-79.97000122070312",140, $245.000,Publicado hace 1 día,Inmobiliaria,"Departamento de Venta en Urb. Bosques de la Costa, Vía a la Costa, Guayaquil"
Entre 20 y 50 años,8,3,Si,"https://www.google.com/maps/place/-2.1630001068115234,-79.91899871826172",712, $160.000,Publicado hace 12 hs,Dueño Directo,"Casa de Venta o Renta Sector Miraflores, Urdesa, Guayaquil"
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.134000062942505,-79.92500305175781",105,$95.000,Publicado hace 12 hs,Inmobiliaria,"Venta de Casa en Urb. Santorini, frente al Santuario Schoenstatt, Norte de Guayaquil"
Entre 5 y 10 años,6,4,,"https://www.google.com/maps/place/-2.224863290786743,-79.90839385986328",83, $50.000,Publicado hace 11 hs,Dueño Directo,"Casa Sur, 3 Departamentos Independientes"
Entre 20 y 50 años,6,8,Si,"https://www.google.com/maps/place/-2.1600000858306885,-79.91400146484375",1008, $390.000,Publicado hace 14 hs,Inmobiliaria,EN VENTA CASA CON USO DE SUELO COMERCIAL EN URDESA GUAYAQUIL
Entre 10 y 20 años,3,4,Si,"https://www.google.com/maps/place/-2.1600000858306885,-79.9000015258789",308, $280.000,Publicado hace 12 hs,Inmobiliaria,"Vendo/Alquilo Elegante Casa de Dos Pisos en Kennedy Norte, ideal empresas"
A estrenar,3,3,Si,"https://www.google.com/maps/place/-2.2039999961853027,-80.06700134277344",180, $157.000,Publicado hace 11 hs,Inmobiliaria,"Venta de casa en Villas Del Bosque, cerca del Colegio SEK, Vía a la Costa"
Entre 20 y 50 años,1,1,Si,"https://www.google.com/maps/place/-2.19,-79.891",150,$150.000,Publicado hace 11 hs,Inmobiliaria,Vélez Y Antepara
Entre 20 y 50 años,3,3,Si,"https://www.google.com/maps/place/-2.13700008392334,-79.91000366210938",118,$113.000,Publicado hace 1 día,Dueño Directo,Oportunidad Departamento 10ma etapa Alborada atrás de la Rotonda
Hasta 5 años,1,1,Si,"https://www.google.com/maps/place/-2.1519999504089355,-79.90599822998047",80, $89.000,Publicado hace 11 hs,Dueño Directo,venta de Suite Moderna Pacificplaza Norte Guayas
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.0813522338867188,-79.92008972167969",100, $65.000,Publicado hace 2 días,Inmobiliaria,"Venta  Casa Villa España/Sevilla, 3H, 2Baños, acabados diferentes"
Entre 10 y 20 años,4,3,Si,"https://www.google.com/maps/place/-2.1549999713897705,-79.89099884033203",191, $118.000,Publicado hace 2 días,Inmobiliaria,"Venta de Casa, Alborada 8va Etapa, Norte de Guayaquil"
Entre 10 y 20 años,7,6,Si,"https://www.google.com/maps/place/-2.2716941833496094,-79.92942810058594",300,$80.000,Publicado hace 13 hs,Dueño Directo,Casa Suburbio
Entre 5 y 10 años,4,4,Si,"https://www.google.com/maps/place/-2.181999921798706,-79.97599792480469",200, $165.000,Publicado hace 13 hs,Inmobiliaria,"Casa en VENTA en Urb. Casa Club, vía a la Costa km. 12.5 , de 4 Dorm"
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.0820000171661377,-79.9209976196289",72, $60.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Casa, Mucho Lote Etapa 4, Norte de Guayaquil"
A estrenar,2,2,Si,"https://www.google.com/maps/place/-2.191999912261963,-80.0790023803711",100, $110.000,Publicado hace 13 hs,Inmobiliaria,Venta de departamentos en Conjunto Residencial Ciudadela Santa Cecilia
Entre 20 y 50 años,6,10,,"https://www.google.com/maps/place/-2.1640000343322754,-79.90699768066406",1100,$250.000,Publicado hace 13 hs,Inmobiliaria,"Casa en Venta Lomas de Urdesa, 6 Dormitorios, 13 Baños, 1100 Mts2."
Entre 10 y 20 años,4,4,Si,"https://www.google.com/maps/place/-2.1710000038146973,-79.9219970703125",495, $525.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Casa en Urb. Puerto Azul, cerca del C.C Plaza Colonia, Via a la Costa"
Entre 10 y 20 años,4,4,Si,"https://www.google.com/maps/place/-2.171999931335449,-79.9229965209961",602, $450.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Casa en Puerto Azul, cerca del C.C Costalmar, Via a la Costa"
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1359763145446777,-79.90550231933594",180, $153.000,Publicado hace 13 hs,Inmobiliaria,Vía a la Costa Casa en Venta  Urbanización Belo Horizonte  /  Etapa Barlovento
Entre 20 y 50 años,5,3,No,"https://www.google.com/maps/place/-2.1902263164520264,-80.01299285888672",125, $120.000,Publicado hace 13 hs,Inmobiliaria,"Venta Departamento Planta Baja en Garzota 1, Norte de Guayaquil"
A estrenar,5,5,Si,"https://www.google.com/maps/place/-2.1619999408721924,-79.91000366210938",240, $285.000,Publicado hace 13 hs,Inmobiliaria,"Casa en venta Porton Lomas de Urdesa, Guayaquil"
Hasta 5 años,3,3,,"https://www.google.com/maps/place/-2.1710000038146973,-79.9219970703125",135, $125.000,Publicado hace 13 hs,Inmobiliaria,Venta de departamento en Salinas Punta Blanca Condominio de 6 departamentos
Entre 5 y 10 años,4,4,,"https://www.google.com/maps/place/-2.132999897003174,-79.87100219726562",390, $295.000,Publicado hace 13 hs,Inmobiliaria,"Venta-Casa,   esq.  Urb. La Cumbre"
Entre 5 y 10 años,2,2,,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",128, $100.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Departamento en Urb. Puerto Azul, cerca del Cafe de Tere, Via a la Costa"
Entre 20 y 50 años,3,1,No,"https://www.google.com/maps/place/-2.1117382049560547,-79.90281677246094",100,$42.000,Publicado hace 13 hs,Inmobiliaria,Vendo Barata Remodelar. Martha de Roldos
Entre 10 y 20 años,5,5,Si,"https://www.google.com/maps/place/-2.1489999294281006,-79.89600372314453",526, $420.000,Publicado hace 13 hs,Inmobiliaria,"Venta de departamento cerca de Rio Centro,  Parque historico,  Piazza,  en Samborondon"
Entre 5 y 10 años,2,1,Si,"https://www.google.com/maps/place/-2.115000009536743,-79.9000015258789",72,$45.000,Publicado hace 13 hs,Inmobiliaria,Vendo Villa Barata. Mucho Lote 1.base 2p
Hasta 5 años,3,3,,"https://www.google.com/maps/place/-2.1710000038146973,-79.9219970703125",266, $330.000,Publicado hace 13 hs,Inmobiliaria,Venta de departamento en Salinas Puerto Lucia
Entre 10 y 20 años,2,3,Si,"https://www.google.com/maps/place/-2.1670000553131104,-79.94499969482422",89, $95.000,Publicado hace 13 hs,Inmobiliaria,En Venta Lindo Departamento en Ceibos - E. SALCEDO
Entre 5 y 10 años,4,4,,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",957, $650.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Casa esquinera en Urb. Puerto Azul, cerca del C.C Costalmar, Via a la costa"
Entre 5 y 10 años,6,6,Si,"https://www.google.com/maps/place/-2.115000009536743,-79.9000015258789",360,$120.000,Publicado hace 13 hs,Dueño Directo,Vendo Linda Casa Samanes. 5 Dormitorios
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.187999963760376,-80.0270004272461",180, $199.000,Publicado hace 14 hs,Inmobiliaria,"Venta, Vendo Casa, Nueva de 3 dor, Patio con BBQ, 180m2 de Terreno, Via a la Costa, Norte de Guayaquil"
Entre 5 y 10 años,4,3,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",220, $190.000,Publicado hace 14 hs,Inmobiliaria,"Se Vende Casa en  PUERTO AZUL , VIA A LA COSTA"
Entre 5 y 10 años,4,5,Si,"https://www.google.com/maps/place/-2.135,-79.885",171,$229.500,Publicado hace 14 hs,Inmobiliaria,Venta Casa en Acuarela Del Rio
Entre 10 y 20 años,5,5,Si,"https://www.google.com/maps/place/-2.190000057220459,-80.00800323486328",251, $270.000,Publicado hace 14 hs,Dueño Directo,"Casa de venta en urbanización privada, vía a la costa, Guayaquil."
A estrenar,4,4,Si,"https://www.google.com/maps/place/-2.183000087738037,-79.98699951171875",212, $202.000,Publicado hace 14 hs,Inmobiliaria,En venta casa de estreno en Colinas del Bosque- Vía la Costa
Entre 5 y 10 años,2,2,Si,,240, $40.000,Publicado hace 14 hs,Inmobiliaria,Venta Terreno en Duran
Entre 20 y 50 años,3,3,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",263, $260.000,Publicado hace 14 hs,Inmobiliaria,"Venta de Casa en Puerto Azul, Via a la Costa, Valeria Mendoza"
Entre 5 y 10 años,9,6,Si,"https://www.google.com/maps/place/-2.135999917984009,-79.9020004272461",227, $330.000,Publicado hace 14 hs,Inmobiliaria,Venta  de casa Rentera en Alamos Norte cerca del centro comercial La Rotonda
A estrenar,3,4,Si,"https://www.google.com/maps/place/-2.1670000553131104,-79.94499969482422",185, $179.500,Publicado hace 14 hs,Dueño Directo,DEPARTAMENTO POR ESTRENAR EN URBANIZACION PUERTO AZUL
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.065000057220459,-79.91699981689453",120, $79.500,Publicado hace 14 hs,Inmobiliaria,"Venta de Casa, Urb. Metrópolis II Etapa H, Vía Terminal Terrestre Pascuales"
Hasta 5 años,2,1,No,"https://www.google.com/maps/place/-2.128999948501587,-79.94200134277344",65,$25.000,Publicado hace 13 hs,Inmobiliaria,L. Venta D Villa Ballenita 25.000 Negoci
Hasta 5 años,3,4,Si,"https://www.google.com/maps/place/-2.187000036239624,-79.99400329589844",198, $195.000,Publicado hace 14 hs,Inmobiliaria,Casa 3 dormitorios Vía a la Costa Urbanización Punta Esmeralda frente a Mi comisariato
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.065000057220459,-79.91699981689453",120, $79.500,Publicado hace 14 hs,Inmobiliaria,"En Venta Casa en Urb. Metrópolis 2 etapa H, Vía Autopista Terminal Terrestre Pascuales"
Entre 20 y 50 años,2,1,,"https://www.google.com/maps/place/-2.127000093460083,-79.88999938964844",81, $45.000,Publicado hace 13 hs,Inmobiliaria,"Propiedad en venta en Sauces 3,"
Entre 5 y 10 años,5,2,,"https://www.google.com/maps/place/-2.127000093460083,-79.88999938964844",164, $78.000,Publicado hace 13 hs,Inmobiliaria,"Propiedad en venta, sauces 3 Norte de Guayaquil."
Entre 5 y 10 años,9,6,No,"https://www.google.com/maps/place/-2.234999895095825,-79.9000015258789",261, $135.000,Publicado hace 13 hs,Inmobiliaria,CASA RENTERA EN VENTA AL SUR DE LA CIUDAD - HUANCAVILCA SUR - 135.000
Entre 10 y 20 años,3,5,,"https://www.google.com/maps/place/-2.1670000553131104,-79.94499969482422",442, $205.000,Publicado hace 13 hs,Inmobiliaria,Amplio departamento remodelado en los Ceibos de Venta
Entre 10 y 20 años,6,4,Si,"https://www.google.com/maps/place/-2.134999990463257,-79.88500213623047",140,$153.000,Publicado hace 14 hs,Inmobiliaria,Venta Casa Rentera Guayacanes
Entre 10 y 20 años,5,4,No,"https://www.google.com/maps/place/-2.144,-79.922",270,$65.000,Publicado hace 13 hs,Inmobiliaria,Venta Casa Rentera Cdla Martha de Roldos
Entre 10 y 20 años,3,2,No,"https://www.google.com/maps/place/-2.255000114440918,-79.88800048828125",91, $72.500,Publicado hace 14 hs,Inmobiliaria,"Venta de casa al sur de Guayaquil, Cdla. Floresta 2."
Entre 10 y 20 años,3,2,No,"https://www.google.com/maps/place/-2.249000072479248,-79.88600158691406",91, $72.500,Publicado hace 14 hs,Inmobiliaria,"Propiedad en venta al sur de Guayaquil, Floresta 2"
Entre 5 y 10 años,3,4,Si,"https://www.google.com/maps/place/-2.122999906539917,-79.90499877929688",201, $240.000,Publicado hace 14 hs,Inmobiliaria,EN VENTA AMPLIA Y HERMOSA CASA EN GOLETA ALCANCE
Entre 5 y 10 años,4,2,No,"https://www.google.com/maps/place/-2.1429998874664307,-79.89900207519531",120,$70.000,Publicado hace 14 hs,Inmobiliaria,Venta Casa en Sauces 6 Rentera
Hasta 5 años,3,3,Si,"https://www.google.com/maps/place/-2.1600000858306885,-79.88600158691406",130, $118.000,Publicado hace 14 hs,Inmobiliaria,Porton del Alamo venta dpto amob o sin amob de 3 hab cada uno con su baño y garaje
Entre 10 y 20 años,3,2,Si,"https://www.google.com/maps/place/-2.0799999237060547,-79.9219970703125",72, $60.000,Publicado hace 14 hs,Inmobiliaria,CASA EN VENTA VILLA ESPAÑA DE OPORTUNIDAD
Entre 10 y 20 años,3,2,Si,"https://www.google.com/maps/place/-2.0880000591278076,-79.91200256347656",105, $48.000,Publicado hace 14 hs,Inmobiliaria,"Urbanizacion Las Orquídeas Sector 3, Norte Guayaquil"
Entre 10 y 20 años,6,4,No,"https://www.google.com/maps/place/-2.253000020980835,-79.88400268554688",87, $75.000,Publicado hace 14 hs,Inmobiliaria,"Venta de casa rentera en Floresta 1, sur de Guayaquil"
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.135999917984009,-79.9280014038086",112, $100.000,Publicado hace 14 hs,Inmobiliaria,Vendo Linda Casa de dos pisos en Urb. San Felipe
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1760001182556152,-79.88200378417969",224,$170.000,Publicado hace 14 hs,Inmobiliaria,Venta de Departamento Lomas de Urdesa
Hasta 5 años,3,1,Si,"https://www.google.com/maps/place/-2.0889999866485596,-79.91100311279297",105, $50.000,Publicado hace 14 hs,Inmobiliaria,Ciudadela Orquideas sector Guayaquil norte
Entre 20 y 50 años,3,2,Si,"https://www.google.com/maps/place/-2.095404863357544,-79.94376373291016",330, $135.000,Publicado hace 14 hs,Inmobiliaria,Venta Casa Comercial O Rentera
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.119999885559082,-79.9010009765625",322, $185.000,Publicado hace 14 hs,Inmobiliaria,COD# 186 Vendo hermosa propiedad en Polaris cerca de Samanes Alborada Guayacanes Norte de la ciudad
Entre 20 y 50 años,2,2,Si,"https://www.google.com/maps/place/-2.065000057220459,-79.89299774169922",84, $48.000,Publicado hace 14 hs,Inmobiliaria,COD# 032 Venta de casa en Floresta 1 cerca de Pradera 7 Lagos Esteros Sopeña
Hasta 5 años,7,4,No,"https://www.google.com/maps/place/-2.253000020980835,-79.88400268554688",87, $75.000,Publicado hace 14 hs,Inmobiliaria,Casa Rentera en venta al sur de Guayaquil.
Entre 5 y 10 años,4,3,Si,"https://www.google.com/maps/place/-2.194000005722046,-79.87999725341797",70, $85.000,Publicado hace 14 hs,Inmobiliaria,"COD# 164 VENDO PROPIEDAD EN LA ALEGRIA, CERCA DE MUCHO LOTE, SAMANES, MONTEBELLO, HUANCAVILCA"
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.0820000171661377,-79.9209976196289",160, $78.000,Publicado hace 14 hs,Inmobiliaria,"Cod# 019 Venta de Casa en Urbanización Valle Alto,  Via a la Costa."
Entre 5 y 10 años,3,5,Si,"https://www.google.com/maps/place/-2.0480000972747803,-79.90499877929688",250, $250.000,Publicado hace 14 hs,Inmobiliaria,COD# 021 VENDO PRECIOSA CASA EN EL CONDADO DE VICOLINCI CERCA DE VILLA CLUB VICRIEL SANTA MARIA DE CASA GRANDE LA AURORA
Entre 10 y 20 años,2,2,,"https://www.google.com/maps/place/-2.0820000171661377,-79.9209976196289",84, $37.000,Publicado hace 14 hs,Inmobiliaria,"Cod# 020 Venta de Casa en Floresta 1, Cerca de Pradera, Esteros"
Entre 10 y 20 años,3,2,Si,"https://www.google.com/maps/place/-2.119999885559082,-79.9010009765625",130, $95.000,Publicado hace 14 hs,Inmobiliaria,COD# 018 VENDO PROPIEDAD EN GUAYACANES SECTOR NORTE CERCA DE SAMANES ALBORADA
Hasta 5 años,2,1,Si,"https://www.google.com/maps/place/-2.0250000953674316,-79.94400024414062",72, $38.000,Publicado hace 14 hs,Inmobiliaria,COD# 008 VENDO DE OPRTUNIDAD  CASA EN CIUDAD SANTIAGO NORTE DE LA CIUDAD CERCA DE MUCHO LOTE KM 19.50 VIA DAULE
Entre 10 y 20 años,3,4,Si,"https://www.google.com/maps/place/-2.13100004196167,-79.93800354003906",180, $86.000,Publicado hace 14 hs,Inmobiliaria,"Cod# 016 Venta de Casa en Urb. Villa del Rey Etapa Rey Carlos, Cerca de Villa Club, Urb. La Joya, La Rioja"
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1760001182556152,-79.88200378417969",180,$200.000,Publicado hace 14 hs,Inmobiliaria,Venta Casa Via a La Costa
Entre 5 y 10 años,2,1,Si,"https://www.google.com/maps/place/-2.0959999561309814,-79.90899658203125",84, $48.000,Publicado hace 14 hs,Inmobiliaria,"Cod# 013 Venta de Casa en Huancavilca Norte Cerca de Parque Samanes, Orquídeas, Mucho Lote, la Florida Samanes"
A estrenar,2,2,Si,"https://www.google.com/maps/place/-2.1730000972747803,-79.90799713134766",141, $140.000,Publicado hace 14 hs,Inmobiliaria,Vendo Departamento de Oportunidad en Ceibos
A estrenar,3,4,Si,"https://www.google.com/maps/place/-2.1989998817443848,-79.93099975585938",127, $104.000,Publicado hace 2 días,Dueño Directo,Urbanización La Rioja vendo de estreno bonita casa 2 plantas 3 dormitorios
Entre 10 y 20 años,7,5,Si,"https://www.google.com/maps/place/-2.134999990463257,-79.88400268554688",200, $190.000,Publicado hace 2 días,Inmobiliaria,"Casa Rentera en Venta, Acuarela del Rio, Norte de Guayaquil"
A estrenar,3,2,,"https://www.google.com/maps/place/-2.061765193939209,-79.9769287109375",109,$110.202,Publicado hace 1 día,Inmobiliaria,"Venta de Casa Laguna modelo MARINA en León Febres Cordero, cerca del C.C Riocentro El Dorado."
A estrenar,3,2,Si,"https://www.google.com/maps/place/-2.226637840270996,-80.07567596435547",108,$79.000,Publicado hace 15 hs,Inmobiliaria,"Venta Casa en Olimpo, Km 23 Via La Costa"
Entre 10 y 20 años,7,7,Si,"https://www.google.com/maps/place/-2.188999891281128,-79.88899993896484",520, $65.000,Publicado hace 13 hs,Inmobiliaria,Venta Casa Rentera Martha de Roldos
Entre 10 y 20 años,8,8,No,"https://www.google.com/maps/place/-2.180000066757202,-79.91100311279297",450, $225.000,Publicado hace 13 hs,Inmobiliaria,CASA RENTERA EN VENTA BELLAVISTA -  3 DEPARTAMENTOS - CERCA DEL ESTADIO BARCELONA - 225.000
Entre 20 y 50 años,3,3,Si,"https://www.google.com/maps/place/-2.192708730697632,-79.8829345703125",150, $85.000,Publicado hace 13 hs,Inmobiliaria,Venta Casa Alborada 5ta Etapa
Entre 10 y 20 años,3,2,No,"https://www.google.com/maps/place/-2.084327220916748,-79.96826934814453",82,$45.000,Publicado hace 13 hs,Inmobiliaria,Venta Casa Huancavilca Norte
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.187000036239624,-79.98100280761719",200, $180.000,Publicado hace 13 hs,Inmobiliaria,"Venta de casa en Urbanización Belo Horizonte, Via a la Costa"
Hasta 5 años,4,4,Si,"https://www.google.com/maps/place/-2.057,-79.908",100,$115.000,Publicado hace 16 hs,Inmobiliaria,Venta Casa Urb. La Perla Autopista T.t
Entre 10 y 20 años,4,4,No,"https://www.google.com/maps/place/-2.193000078201294,-79.88700103759766",282, $140.000,Publicado hace 13 hs,Inmobiliaria,DEPARTAMENTO EN VENTA EN EL CENTRO DE LA CIUDAD DE GUAYAQUIL - CERCA AL MALECON - 140.000
Entre 5 y 10 años,3,2,No,"https://www.google.com/maps/place/-2.188999891281128,-79.88899993896484",75,$40.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Casa en Huancavilca Norte, Cerca al parque samanes"
Entre 20 y 50 años,4,3,,"https://www.google.com/maps/place/-2.2079999446868896,-79.90699768066406",90, $80.000,Publicado hace 2 días,Inmobiliaria,Venta de Casa rentera re-modelada entre las calles el Oro y Gallegos Lara- suroeste de Guayaquil
Hasta 5 años,3,3,,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",161, $198.000,Publicado hace 13 hs,Inmobiliaria,Venta de casa en Urbanización Puerto Azul próxima a parque e Iglesia
Entre 10 y 20 años,4,3,Si,"https://www.google.com/maps/place/-2.122999906539917,-79.90799713134766",105, $97.000,Publicado hace 13 hs,Inmobiliaria,"Venta de casa en Sauces 7, Cerca al terminal terrestre"
Hasta 5 años,3,4,Si,"https://www.google.com/maps/place/-2.1559998989105225,-79.88899993896484",146, $360.000,Publicado hace 13 hs,Dueño Directo,"Departamento en venta, Edificio Quo, Norte de Guayaquil"
A estrenar,3,2,Si,"https://www.google.com/maps/place/-2.180000066757202,-79.90799713134766",115, $133.000,Publicado hace 2 días,Inmobiliaria,Venta de Departamento a Estrenar en Garzota
A estrenar,4,3,Si,"https://www.google.com/maps/place/-2.1600000858306885,-79.88600158691406",153, $140.000,Publicado hace 2 días,Inmobiliaria,Venta de Casa en Villa Club-Magna a Estrenar
Entre 5 y 10 años,2,1,,"https://www.google.com/maps/place/-2.121000051498413,-79.88600158691406",120,$65.000,Publicado hace 13 hs,Inmobiliaria,"Venta de Casa en Urbanización  la Joya, Vía la Aurora"
Entre 10 y 20 años,4,7,Si,"https://www.google.com/maps/place/-2.180000066757202,-79.98300170898438",485, $335.000,Publicado hace 15 hs,Inmobiliaria,"Venta de Casa en Urb. Los Parques, Cerca a Riocentro, Ceibos"
Entre 10 y 20 años,2,1,No,"https://www.google.com/maps/place/-2.119999885559082,-79.9260025024414",86, $44.000,Publicado hace 15 hs,Inmobiliaria,"Ciudadela La Alegría, Propiedad en venta"
Entre 20 y 50 años,3,3,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.88200378417969",210, $220.000,Publicado hace 15 hs,Inmobiliaria,"Condominio San Francisco 300, Venta departamento 3 dormitorios"
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.0789999961853027,-79.9229965209961",84, $48.000,Publicado hace 15 hs,Inmobiliaria,"Venta de Casa, Urb. Villa ESpaña Etapa Málaga, Norte Guayaquil"
Entre 10 y 20 años,2,1,,"https://www.google.com/maps/place/-2.119999885559082,-79.9260025024414",86, $44.000,Publicado hace 15 hs,Inmobiliaria,Propiedad en venta vía a Daule
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.0829999446868896,-79.91699981689453",72, $57.000,Publicado hace 15 hs,Inmobiliaria,"Venta, Urb. Villa España Etapa Madrid, Norte Guayaquil"
A estrenar,3,3,Si,,128, $115.000,Publicado hace 15 hs,Dueño Directo,Vendo Alquilo Casa por Estrenar
Entre 10 y 20 años,5,5,Si,"https://www.google.com/maps/place/-2.179912567138672,-79.98324584960938",464, $235.000,Publicado hace 15 hs,Inmobiliaria,Venta de Casa Santa Cecilia Ceibos
Hasta 5 años,2,1,No,"https://www.google.com/maps/place/-2.057,-79.958",123,$30.000,Publicado hace 15 hs,Inmobiliaria,Ciudadela Beata Molina
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.134000062942505,-79.92500305175781",243, $99.000,Publicado hace 15 hs,Inmobiliaria,"Venta casa Urbanizacion Santorini, Norte de Guayaquil"
Hasta 5 años,3,4,Si,"https://www.google.com/maps/place/-2.134999990463257,-79.88500213623047",130,$105.000,Publicado hace 15 hs,Inmobiliaria,Venta Casa en Metropolis 2
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.1610000133514404,-79.91600036621094",257, $126.000,Publicado hace 15 hs,Dueño Directo,Casa en Venta en Urdesa Central Cerca de Parrillada del Ñato
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.063999891281128,-79.89700317382812",84, $79.000,Publicado hace 15 hs,Inmobiliaria,"Venta de Casa, Urb. Plaza Victoria - Mucho Lote 2, Norte de Guayaquil"
Entre 10 y 20 años,3,2,,"https://www.google.com/maps/place/-2.2209999561309814,-79.9219970703125",120,$15.000,Publicado hace 15 hs,Dueño Directo,Venta de La Casa
