antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
A estrenar,4,3,,"https://www.google.com/maps/place/-2.187000036239624,-79.98100280761719",216, $195.000,Publicado hace 5 hs,Inmobiliaria,Venta Casa esquinera en Urb. Belo Horizonte (Vía a la Costa
Hasta 5 años,4,4,Si,"https://www.google.com/maps/place/-2.091,-79.955",15,$25.000,Publicado hace 5 hs,Dueño Directo,Vendo Casa
Entre 20 y 50 años,40,30,,"https://www.google.com/maps/place/-2.161486,-79.917257",1371,$500.000,Publicado hace 5 hs,,Casa de venta en CENTRO SUR - LIZARDO GARCÍA – código:16323
A estrenar,3,3,Si,"https://www.google.com/maps/place/-2.052999973297119,-79.98699951171875",91, $62.707,Publicado hace 5 hs,Inmobiliaria,"Venta de Casa en Villa Bonita, Via a Daule km 16, cerca de la Cervecería Nacional."
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.1459999084472656,-79.89399719238281",80, $90.000,Publicado hace 5 hs,Inmobiliaria,En Venta Departamento en Cdla. La Garzota
Entre 5 y 10 años,3,4,Si,"https://www.google.com/maps/place/-2.1018524169921875,-79.86404418945312",150,$210.000,Publicado hace 8 hs,Dueño Directo,Venta  departamento al rio
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1579999923706055,-79.90799713134766",200, $170.000,Publicado hace 3 días,Inmobiliaria,"Venta de  casa en Porto Vita, Via la Costa"
Entre 5 y 10 años,3,1,Si,"https://www.google.com/maps/place/-2.190999984741211,-79.93399810791016",72,$45.000,Publicado hace 6 hs,Dueño Directo,Vendo Villa en Mucho Lote 1
Entre 5 y 10 años,5,6,Si,"https://www.google.com/maps/place/-2.177999973297119,-79.91400146484375",300, $300.000,Publicado hace 5 hs,Inmobiliaria,"Vendo, casa de dos pisos mas terraza en conjunto cerrado en Bellavista"
A estrenar,1,1,Si,"https://www.google.com/maps/place/-2.177000045776367,-79.89600372314453",72, $105.000,Publicado hace 6 hs,Dueño Directo,Amplio y hermoso Departamento Suite Planta de terraza. Kennedy Norte Atras del Mac DonalsSan Marino
A estrenar,1,1,No,"https://www.google.com/maps/place/-2.1989998817443848,-79.93000030517578",48,$35.000,Publicado hace 18 hs,Inmobiliaria,"Vendo, suite en el centro de Guayaquil cerca a la zona financiera y comercial de la ciudad"
